subject	subject_value	predicate	object	object_value
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	skos:exactMatch	<https://icd.codes/icd10cm/C84.4>	
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/C84.4>	Peripheral T-cell lymphoma, not classified
MONDO:0000447	autosomal dominant polycystic liver disease	skos:exactMatch	<https://icd.codes/icd10cm/Q44.6>	
MONDO:0000447	autosomal dominant polycystic liver disease	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/Q44.6>	Cystic disease of liver
MONDO:0000453	short QT syndrome	skos:narrowMatch	<https://icd.codes/icd10cm/I49.8>	
MONDO:0000456	cerebral creatine deficiency syndrome	skos:narrowMatch	<https://icd.codes/icd10cm/E72.8>	
MONDO:0000462	eye adnexa disorder	skos:exactMatch	<http://apps.who.int/classifications/icd10/browse/2010/en#/H00-H06>	
MONDO:0000463	Ochoa syndrome	skos:narrowMatch	<https://icd.codes/icd10cm/N31.8>	
MONDO:0000507	inclusion body myopathy with Paget disease of bone and frontotemporal dementia	skos:narrowMatch	<https://icd.codes/icd10cm/G71.8>	
MONDO:0000598	aphasia	skos:exactMatch	<https://icd.codes/icd10cm/R47.01>	
MONDO:0000598	aphasia	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/R47.01>	Aphasia
MONDO:0000645	fallopian tube benign neoplasm	skos:narrowMatch	<https://icd.codes/icd10cm/D28.2>	
MONDO:0000665	apraxia	skos:exactMatch	<https://icd.codes/icd10cm/R48.2>	
MONDO:0000665	apraxia	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/R48.2>	Apraxia
MONDO:0000690	body dysmorphic disorder	skos:exactMatch	<https://icd.codes/icd10cm/F45.22>	
MONDO:0000690	body dysmorphic disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F45.22>	Body dysmorphic disorder
MONDO:0000703	collagenous colitis	skos:exactMatch	<https://icd.codes/icd10cm/K52.831>	
MONDO:0000703	collagenous colitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/K52.831>	Collagenous colitis
MONDO:0000704	lymphocytic colitis	skos:exactMatch	<https://icd.codes/icd10cm/K52.832>	
MONDO:0000704	lymphocytic colitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/K52.832>	Lymphocytic colitis
MONDO:0000736	dyschromatosis universalis hereditaria	skos:narrowMatch	<https://icd.codes/icd10cm/L81.8>	
MONDO:0000743	oral hairy leukoplakia	skos:exactMatch	<https://icd.codes/icd10cm/K13.3>	
MONDO:0000743	oral hairy leukoplakia	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/K13.3>	Hairy leukoplakia
MONDO:0000745	cardiac arrest	skos:exactMatch	<https://icd.codes/icd10cm/I46>	
MONDO:0000745	cardiac arrest	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/I46>	Cardiac arrest
MONDO:0000754	anal fistula	skos:exactMatch	<https://icd.codes/icd10cm/K60.3>	
MONDO:0000754	anal fistula	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/K60.3>	Anal fistula
MONDO:0000816	abdominal obesity-metabolic syndrome	skos:exactMatch	<https://icd.codes/icd10cm/E88.81>	
MONDO:0000816	abdominal obesity-metabolic syndrome	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/E88.81>	Metabolic syndrome
MONDO:0000827	salmonellosis	skos:broadMatch	<https://icd.codes/icd10cm/A02.9>	
MONDO:0000827	salmonellosis	skos:broadMatch	<https://icd.codes/icd10cm/A02.8>	
MONDO:0000827	salmonellosis	skos:broadMatch	<https://icd.codes/icd10cm/A02.2>	
MONDO:0000827	salmonellosis	skos:broadMatch	<https://icd.codes/icd10cm/A02.1>	
MONDO:0000827	salmonellosis	skos:broadMatch	<https://icd.codes/icd10cm/A02.0>	
MONDO:0000827	salmonellosis	skos:broadMatch	<https://icd.codes/icd10cm/A01.4>	
MONDO:0000827	salmonellosis	skos:broadMatch	<https://icd.codes/icd10cm/A01.3>	
MONDO:0000827	salmonellosis	skos:broadMatch	<https://icd.codes/icd10cm/A01.2>	
MONDO:0000827	salmonellosis	skos:broadMatch	<https://icd.codes/icd10cm/A01.1>	
MONDO:0000827	salmonellosis	skos:broadMatch	<https://icd.codes/icd10cm/A01.0>	
MONDO:0000827	salmonellosis	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A02.9>	Salmonella infection, unspecified
MONDO:0000827	salmonellosis	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A02.8>	Other specified salmonella infections
MONDO:0000827	salmonellosis	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A02.2>	Localized salmonella infections
MONDO:0000827	salmonellosis	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A02.1>	Salmonella sepsis
MONDO:0000827	salmonellosis	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A02.0>	Salmonella enteritis
MONDO:0000827	salmonellosis	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A01.4>	Paratyphoid fever, unspecified
MONDO:0000827	salmonellosis	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A01.3>	Paratyphoid fever C
MONDO:0000827	salmonellosis	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A01.2>	Paratyphoid fever B
MONDO:0000827	salmonellosis	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A01.1>	Paratyphoid fever A
MONDO:0000827	salmonellosis	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A01.0>	Typhoid fever
MONDO:0000863	myopathy, lactic acidosis, and sideroblastic anemia	skos:narrowMatch	<https://icd.codes/icd10cm/G71.3>	
MONDO:0000866	myoglobinuria	skos:exactMatch	<https://icd.codes/icd10cm/R82.1>	
MONDO:0000866	myoglobinuria	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/R82.1>	Myoglobinuria
MONDO:0000902	agenesis of the corpus callosum with peripheral neuropathy	skos:narrowMatch	<https://icd.codes/icd10cm/G60.0>	
MONDO:0000903	myoclonus-dystonia syndrome	skos:narrowMatch	<https://icd.codes/icd10cm/G24.1>	
MONDO:0000914	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	skos:narrowMatch	<https://icd.codes/icd10cm/F01.1>	
MONDO:0000916	intestinal infectious disease	skos:exactMatch	<https://icd.codes/icd10cm/A00-A09>	
MONDO:0000916	intestinal infectious disease	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/A00-A09>	Intestinal infectious diseases (A00-A09)
MONDO:0000922	pelvic inflammatory disease	skos:exactMatch	<https://icd.codes/icd10cm/N70-N77>	
MONDO:0000922	pelvic inflammatory disease	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/N70-N77>	Inflammatory diseases of female pelvic organs (N70-N77)
MONDO:0000923	interstitial emphysema	skos:exactMatch	<https://icd.codes/icd10cm/J98.2>	
MONDO:0000923	interstitial emphysema	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/J98.2>	Interstitial emphysema
MONDO:0000924	compensatory emphysema	skos:exactMatch	<https://icd.codes/icd10cm/J98.3>	
MONDO:0000924	compensatory emphysema	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/J98.3>	Compensatory emphysema
MONDO:0000927	asymptomatic neurosyphilis	skos:exactMatch	<https://icd.codes/icd10cm/A52.2>	
MONDO:0000927	asymptomatic neurosyphilis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/A52.2>	Asymptomatic neurosyphilis
MONDO:0000940	trypanosomiasis	skos:exactMatch	<https://icd.codes/icd10cm/B56>	
MONDO:0000940	trypanosomiasis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/B56>	African trypanosomiasis
MONDO:0000952	cancer of long bone of lower limb	skos:exactMatch	<https://icd.codes/icd10cm/C40.2>	
MONDO:0000952	cancer of long bone of lower limb	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/C40.2>	Malignant neoplasm of long bones of lower limb
MONDO:0000953	cancer of short bone of lower limb	skos:exactMatch	<https://icd.codes/icd10cm/C40.3>	
MONDO:0000953	cancer of short bone of lower limb	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/C40.3>	Malignant neoplasm of short bones of lower limb
MONDO:0000983	exhibitionism	skos:exactMatch	<https://icd.codes/icd10cm/F65.2>	
MONDO:0000983	exhibitionism	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F65.2>	Exhibitionism
MONDO:0000984	thalassemia	skos:exactMatch	<https://icd.codes/icd10cm/D56>	
MONDO:0000984	thalassemia	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/D56>	Thalassemia
MONDO:0000986	pleurisy	skos:exactMatch	<https://icd.codes/icd10cm/R09.1>	
MONDO:0000986	pleurisy	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/R09.1>	Pleurisy
MONDO:0000987	cholesterolosis of gallbladder	skos:exactMatch	<https://icd.codes/icd10cm/K82.4>	
MONDO:0000987	cholesterolosis of gallbladder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/K82.4>	Cholesterolosis of gallbladder
MONDO:0000989	mumps infectious disease	skos:exactMatch	<https://icd.codes/icd10cm/B26>	
MONDO:0000989	mumps infectious disease	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/B26>	Mumps
MONDO:0001007	chronic meningitis	skos:exactMatch	<https://icd.codes/icd10cm/G03.1>	
MONDO:0001007	chronic meningitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/G03.1>	Chronic meningitis
MONDO:0001009	solitary cyst of breast	skos:exactMatch	<https://icd.codes/icd10cm/N60.0>	
MONDO:0001009	solitary cyst of breast	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/N60.0>	Solitary cyst of breast
MONDO:0001012	obsolete breast fibroadenosis	skos:exactMatch	<https://icd.codes/icd10cm/N60.2>	
MONDO:0001012	obsolete breast fibroadenosis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/N60.2>	Fibroadenosis of breast
MONDO:0001024	pneumonic plague	skos:exactMatch	<https://icd.codes/icd10cm/A20.2>	
MONDO:0001024	pneumonic plague	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/A20.2>	Pneumonic plague
MONDO:0001029	Klippel-Feil syndrome	skos:exactMatch	<https://icd.codes/icd10cm/Q76.1>	
MONDO:0001029	Klippel-Feil syndrome	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/Q76.1>	Klippel-Feil syndrome
MONDO:0001039	tonsillitis	skos:exactMatch	<https://icd.codes/icd10cm/J35.01>	
MONDO:0001039	tonsillitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/J35.01>	Chronic tonsillitis
MONDO:0001042	patellar tendinitis	skos:exactMatch	<https://icd.codes/icd10cm/M76.5>	
MONDO:0001042	patellar tendinitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/M76.5>	Patellar tendinitis
MONDO:0001049	Dressler syndrome	skos:exactMatch	<https://icd.codes/icd10cm/I24.1>	
MONDO:0001049	Dressler syndrome	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/I24.1>	Dressler's syndrome
MONDO:0001050	malignant otitis externa	skos:exactMatch	<https://icd.codes/icd10cm/H60.2>	
MONDO:0001050	malignant otitis externa	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H60.2>	Malignant otitis externa
MONDO:0001056	gastric cancer	skos:exactMatch	<https://icd.codes/icd10cm/C16>	
MONDO:0001056	gastric cancer	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/C16>	Malignant neoplasm of stomach
MONDO:0001071	intellectual disability	skos:exactMatch	<https://icd.codes/icd10cm/F70-F79>	
MONDO:0001071	intellectual disability	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F70-F79>	Intellectual Disabilities (F70-F79)
MONDO:0001074	chronic tic disorder	skos:exactMatch	<https://icd.codes/icd10cm/F95.1>	
MONDO:0001074	chronic tic disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F95.1>	Chronic motor or vocal tic disorder
MONDO:0001078	tropical sprue	skos:exactMatch	<https://icd.codes/icd10cm/K90.1>	
MONDO:0001078	tropical sprue	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/K90.1>	Tropical sprue
MONDO:0001079	pancreatic steatorrhea	skos:exactMatch	<https://icd.codes/icd10cm/K90.3>	
MONDO:0001079	pancreatic steatorrhea	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/K90.3>	Pancreatic steatorrhea
MONDO:0001085	interstitial nephritis	skos:exactMatch	<https://icd.codes/icd10cm/N10-N16>	
MONDO:0001085	interstitial nephritis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/N10-N16>	Renal tubulo-interstitial diseases (N10-N16)
MONDO:0001100	hypertrophy of breast	skos:exactMatch	<https://icd.codes/icd10cm/N62>	
MONDO:0001100	hypertrophy of breast	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/N62>	Hypertrophy of breast
MONDO:0001101	fat necrosis of breast	skos:exactMatch	<https://icd.codes/icd10cm/N64.1>	
MONDO:0001101	fat necrosis of breast	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/N64.1>	Fat necrosis of breast
MONDO:0001109	petrositis	skos:exactMatch	<https://icd.codes/icd10cm/H70.2>	
MONDO:0001109	petrositis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H70.2>	Petrositis
MONDO:0001112	bubonic plague	skos:exactMatch	<https://icd.codes/icd10cm/A20.0>	
MONDO:0001112	bubonic plague	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/A20.0>	Bubonic plague
MONDO:0001113	Fiedler's myocarditis	skos:exactMatch	<https://icd.codes/icd10cm/I40.1>	
MONDO:0001113	Fiedler's myocarditis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/I40.1>	Isolated myocarditis
MONDO:0001114	bacterial myocarditis	skos:exactMatch	<https://icd.codes/icd10cm/I40.0>	
MONDO:0001114	bacterial myocarditis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/I40.0>	Infective myocarditis
MONDO:0001120	chronic frontal sinusitis	skos:exactMatch	<https://icd.codes/icd10cm/J32.1>	
MONDO:0001120	chronic frontal sinusitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/J32.1>	Chronic frontal sinusitis
MONDO:0001122	chronic maxillary sinusitis	skos:exactMatch	<https://icd.codes/icd10cm/J32.0>	
MONDO:0001122	chronic maxillary sinusitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/J32.0>	Chronic maxillary sinusitis
MONDO:0001123	chronic sphenoidal sinusitis	skos:exactMatch	<https://icd.codes/icd10cm/J32.3>	
MONDO:0001123	chronic sphenoidal sinusitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/J32.3>	Chronic sphenoidal sinusitis
MONDO:0001126	gastric ulcer	skos:exactMatch	<https://icd.codes/icd10cm/K25>	
MONDO:0001126	gastric ulcer	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/K25>	Gastric ulcer
MONDO:0001132	sexual sadism disorder	skos:exactMatch	<https://icd.codes/icd10cm/F65.52>	
MONDO:0001132	sexual sadism disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F65.52>	Sexual sadism
MONDO:0001135	voyeurism	skos:exactMatch	<https://icd.codes/icd10cm/F65.3>	
MONDO:0001135	voyeurism	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F65.3>	Voyeurism
MONDO:0001137	Murray valley encephalitis	skos:exactMatch	<https://icd.codes/icd10cm/A83.4>	
MONDO:0001137	Murray valley encephalitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/A83.4>	Australian encephalitis
MONDO:0001139	sexual masochism disorder	skos:exactMatch	<https://icd.codes/icd10cm/F65.51>	
MONDO:0001139	sexual masochism disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F65.51>	Sexual masochism
MONDO:0001150	hydrocephalus	skos:exactMatch	<https://icd.codes/icd10cm/G91>	
MONDO:0001150	hydrocephalus	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/G91>	Hydrocephalus
MONDO:0001155	gastrojejunal ulcer	skos:exactMatch	<https://icd.codes/icd10cm/K28.0>	
MONDO:0001155	gastrojejunal ulcer	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/K28.0>	Acute gastrojejunal ulcer with hemorrhage
MONDO:0001157	dependent personality disorder	skos:exactMatch	<https://icd.codes/icd10cm/F60.7>	
MONDO:0001157	dependent personality disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F60.7>	Dependent personality disorder
MONDO:0001158	obsessive-compulsive personality disorder	skos:exactMatch	<https://icd.codes/icd10cm/F60.5>	
MONDO:0001158	obsessive-compulsive personality disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F60.5>	Obsessive-compulsive personality disorder
MONDO:0001159	multiple personality disorder	skos:exactMatch	<https://icd.codes/icd10cm/F44.81>	
MONDO:0001159	multiple personality disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F44.81>	Dissociative identity disorder
MONDO:0001161	schizoid personality disorder	skos:exactMatch	<https://icd.codes/icd10cm/F60.1>	
MONDO:0001161	schizoid personality disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F60.1>	Schizoid personality disorder
MONDO:0001163	paranoid personality disorder	skos:exactMatch	<https://icd.codes/icd10cm/F60.0>	
MONDO:0001163	paranoid personality disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F60.0>	Paranoid personality disorder
MONDO:0001164	antisocial personality disorder	skos:exactMatch	<https://icd.codes/icd10cm/F60.2>	
MONDO:0001164	antisocial personality disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F60.2>	Antisocial personality disorder
MONDO:0001173	acute salpingitis	skos:exactMatch	<https://icd.codes/icd10cm/N70.01>	
MONDO:0001173	acute salpingitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/N70.01>	Acute salpingitis
MONDO:0001176	lens disorder	skos:exactMatch	<https://icd.codes/icd10cm/H25-H28>	
MONDO:0001176	lens disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H25-H28>	Disorders of lens (H25-H28)
MONDO:0001180	bullous keratopathy	skos:exactMatch	<https://icd.codes/icd10cm/H18.1>	
MONDO:0001180	bullous keratopathy	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H18.1>	Bullous keratopathy
MONDO:0001185	dissociative amnesia	skos:exactMatch	<https://icd.codes/icd10cm/F44.0>	
MONDO:0001185	dissociative amnesia	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F44.0>	Dissociative amnesia
MONDO:0001195	spotted fever	skos:exactMatch	<https://icd.codes/icd10cm/A77>	
MONDO:0001195	spotted fever	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/A77>	Spotted fever [tick-borne rickettsioses]
MONDO:0001195	spotted fever	skos:broadMatch	<https://icd.codes/icd10cm/A77.9>	
MONDO:0001195	spotted fever	skos:broadMatch	<https://icd.codes/icd10cm/A77.8>	
MONDO:0001195	spotted fever	skos:broadMatch	<https://icd.codes/icd10cm/A77.3>	
MONDO:0001195	spotted fever	skos:broadMatch	<https://icd.codes/icd10cm/A77.2>	
MONDO:0001195	spotted fever	skos:broadMatch	<https://icd.codes/icd10cm/A77.1>	
MONDO:0001195	spotted fever	skos:broadMatch	<https://icd.codes/icd10cm/A77.0>	
MONDO:0001195	spotted fever	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A77.9>	Spotted fever, unspecified
MONDO:0001195	spotted fever	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A77.8>	Other spotted fevers
MONDO:0001195	spotted fever	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A77.3>	Spotted fever due to Rickettsia australis
MONDO:0001195	spotted fever	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A77.2>	Spotted fever due to Rickettsia siberica
MONDO:0001195	spotted fever	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A77.1>	Spotted fever due to Rickettsia conorii
MONDO:0001195	spotted fever	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A77.0>	Spotted fever due to Rickettsia rickettsii
MONDO:0001202	prostatic cyst	skos:exactMatch	<https://icd.codes/icd10cm/N42.83>	
MONDO:0001202	prostatic cyst	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/N42.83>	Cyst of prostate
MONDO:0001207	neonatal respiratory failure	skos:exactMatch	<https://icd.codes/icd10cm/P28.5>	
MONDO:0001207	neonatal respiratory failure	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/P28.5>	Respiratory failure of newborn
MONDO:0001216	pulp degeneration	skos:exactMatch	<https://icd.codes/icd10cm/K04.2>	
MONDO:0001216	pulp degeneration	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/K04.2>	Pulp degeneration
MONDO:0001218	acute laryngopharyngitis	skos:exactMatch	<https://icd.codes/icd10cm/J06.0>	
MONDO:0001218	acute laryngopharyngitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/J06.0>	Acute laryngopharyngitis
MONDO:0001220	hypoparathyroidism	skos:exactMatch	<https://icd.codes/icd10cm/E20>	
MONDO:0001220	hypoparathyroidism	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/E20>	Hypoparathyroidism
MONDO:0001221	esophageal varices	skos:exactMatch	<https://icd.codes/icd10cm/I85>	
MONDO:0001221	esophageal varices	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/I85>	Esophageal varices
MONDO:0001224	Angelucci syndrome	skos:exactMatch	<https://icd.codes/icd10cm/H10.1>	
MONDO:0001224	Angelucci syndrome	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H10.1>	Acute atopic conjunctivitis
MONDO:0001234	adhesive otitis media	skos:exactMatch	<https://icd.codes/icd10cm/H74.1>	
MONDO:0001234	adhesive otitis media	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H74.1>	Adhesive middle ear disease
MONDO:0001238	polycythemia neonatorum	skos:exactMatch	<https://icd.codes/icd10cm/P61.1>	
MONDO:0001238	polycythemia neonatorum	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/P61.1>	Polycythemia neonatorum
MONDO:0001239	anemia of prematurity	skos:exactMatch	<https://icd.codes/icd10cm/P61.2>	
MONDO:0001239	anemia of prematurity	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/P61.2>	Anemia of prematurity
MONDO:0001241	transient neonatal neutropenia	skos:exactMatch	<https://icd.codes/icd10cm/P61.5>	
MONDO:0001241	transient neonatal neutropenia	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/P61.5>	Transient neonatal neutropenia
MONDO:0001244	vitamin K deficiency hemorrhagic disease	skos:exactMatch	<https://icd.codes/icd10cm/E56.1>	
MONDO:0001244	vitamin K deficiency hemorrhagic disease	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/E56.1>	Deficiency of vitamin K
MONDO:0001246	typhus	skos:broadMatch	<https://icd.codes/icd10cm/A75.9>	
MONDO:0001246	typhus	skos:broadMatch	<https://icd.codes/icd10cm/A75.3>	
