subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ICD10CM:K14.2	Median rhomboid glossitis	skos:exactMatch	MONDO:0001880	median rhomboid glossitis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	median rhomboid glossitis
MONDO:0019735	Polymyalgia rheumatica	skos:exactMatch	ICD10CM:M35.3	polymyalgia rheumatica	semapv:LexicalMatching	LEXMATCH					
ICD10CM:M35.3	Polymyalgia rheumatica	skos:exactMatch	MONDO:0019735	polymyalgia rheumatica	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	polymyalgia rheumatica
ICD10CM:M35.3	Polymyalgia rheumatica	skos:exactMatch	MONDO:0019735	polymyalgia rheumatica	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	polymyalgia rheumatica
MONDO:0005101	Ulcerative colitis	skos:exactMatch	ICD10CM:K51	ulcerative colitis	semapv:LexicalMatching	LEXMATCH					
MONDO:0005101	Ulcerative colitis	skos:exactMatch	ICD10CM:K51	ulcerative colitis	semapv:RegularExpressionReplacement	LEXMATCH					
ICD10CM:K51	Ulcerative colitis	skos:exactMatch	MONDO:0005101	ulcerative colitis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	ulcerative colitis
ICD10CM:K51	Ulcerative colitis	skos:exactMatch	MONDO:0005101	ulcerative colitis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	ulcerative colitis
ICD10CM:K51	Ulcerative colitis	skos:exactMatch	MONDO:0005101	ulcerative colitis	semapv:RegularExpressionReplacement	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	ulcerative colitis
MONDO:0006734	Benign neoplasm of duodenum	skos:exactMatch	ICD10CM:D13.2	benign duodenal neoplasm	semapv:LexicalMatching	LEXMATCH					
ICD10CM:D13.2	Benign neoplasm of duodenum	skos:exactMatch	MONDO:0006734	benign duodenal neoplasm	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	benign neoplasm of duodenum
ICD10CM:H10.5	Blepharoconjunctivitis	skos:exactMatch	MONDO:0002307	blepharoconjunctivitis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	blepharoconjunctivitis
ICD10CM:L40.4	Guttate psoriasis	skos:exactMatch	MONDO:0023297	guttate psoriasis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	guttate psoriasis
ICD10CM:L40.4	Guttate psoriasis	skos:exactMatch	MONDO:0023297	guttate psoriasis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	guttate psoriasis
ICD10CM:A22.0	Cutaneous anthrax	skos:exactMatch	MONDO:0004215	cutaneous anthrax	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	cutaneous anthrax
ICD10CM:N47.2	Paraphimosis	skos:exactMatch	MONDO:0006889	paraphimosis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	paraphimosis
MONDO:0019610	Increased secretion of gastrin	skos:exactMatch	ICD10CM:E16.4	Zollinger-Ellison syndrome	semapv:LexicalMatching	LEXMATCH					
MONDO:0019610	Increased secretion of gastrin	skos:exactMatch	ICD10CM:E16.4	Zollinger-Ellison syndrome	semapv:RegularExpressionReplacement	LEXMATCH					
ICD10CM:E16.4	Increased secretion of gastrin	skos:exactMatch	MONDO:0019610	Zollinger-Ellison syndrome	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	zollinger-ellison syndrome
ICD10CM:E16.4	Increased secretion of gastrin	skos:exactMatch	MONDO:0019610	Zollinger-Ellison syndrome	semapv:RegularExpressionReplacement	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	zollinger-ellison syndrome
ICD10CM:E16.4	Increased secretion of gastrin	skos:exactMatch	MONDO:0019610	Zollinger-Ellison syndrome	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	zollinger-ellison syndrome
MONDO:0004896	Esotropia	skos:exactMatch	ICD10CM:H50.0	esotropia	semapv:LexicalMatching	LEXMATCH					
MONDO:0017991	Aortic arch syndrome [Takayasu]	skos:exactMatch	ICD10CM:M31.4	Takayasu arteritis	semapv:RegularExpressionReplacement	LEXMATCH					
ICD10CM:H50.0	Esotropia	skos:exactMatch	MONDO:0004896	esotropia	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	esotropia
ICD10CM:M31.4	Aortic arch syndrome [Takayasu]	skos:exactMatch	MONDO:0017991	Takayasu arteritis	semapv:RegularExpressionReplacement	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	aortic arch syndrome
ICD10CM:E70.331	Hermansky-Pudlak syndrome	skos:exactMatch	MONDO:0019312	Hermansky-Pudlak syndrome	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	hermansky-pudlak syndrome
ICD10CM:B36.1	Tinea nigra	skos:exactMatch	MONDO:0004677	tinea nigra	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	tinea nigra
MONDO:0006001	Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]	skos:exactMatch	ICD10CM:B65.0	urinary schistosomiasis	semapv:RegularExpressionReplacement	LEXMATCH					
ICD10CM:B65.0	Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]	skos:exactMatch	MONDO:0006001	urinary schistosomiasis	semapv:RegularExpressionReplacement	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	schistosomiasis due to schistosoma haematobium
ICD10CM:F95.0	Transient tic disorder	skos:exactMatch	MONDO:0002419	transient tic disorder	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	transient tic disorder
ICD10CM:D68.61	Antiphospholipid syndrome	skos:exactMatch	MONDO:8000010	antiphospholipid syndrome	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	antiphospholipid syndrome
ICD10CM:D68.61	Antiphospholipid syndrome	skos:exactMatch	MONDO:8000010	antiphospholipid syndrome	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	antiphospholipid syndrome
ICD10CM:D68.61	Antiphospholipid syndrome	skos:exactMatch	MONDO:8000010	antiphospholipid syndrome	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	antiphospholipid antibody syndrome
MONDO:0001357	Iron deficiency anemia	skos:exactMatch	ICD10CM:D50	hypochromic anemia	semapv:LexicalMatching	LEXMATCH					
MONDO:0001357	Iron deficiency anemia	skos:exactMatch	ICD10CM:D50	hypochromic anemia	semapv:RegularExpressionReplacement	LEXMATCH					
ICD10CM:D50	Iron deficiency anemia	skos:exactMatch	MONDO:0001357	hypochromic anemia	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	hypochromic anemia
ICD10CM:D50	Iron deficiency anemia	skos:exactMatch	MONDO:0001357	hypochromic anemia	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	hypochromic anemia
ICD10CM:D50	Iron deficiency anemia	skos:exactMatch	MONDO:0001357	hypochromic anemia	semapv:RegularExpressionReplacement	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	hypochromic anemia
ICD10CM:M79.7	Fibromyalgia	skos:exactMatch	MONDO:0005546	fibromyalgia	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	fibromyalgia
ICD10CM:M79.7	Fibromyalgia	skos:exactMatch	MONDO:0005546	fibromyalgia	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	fibromyalgia
MONDO:0024182	Dry beriberi	skos:exactMatch	ICD10CM:E51.11	dry beriberi	semapv:LexicalMatching	LEXMATCH					
ICD10CM:E51.11	Dry beriberi	skos:exactMatch	MONDO:0024182	dry beriberi	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	dry beriberi
ICD10CM:D10.6	Benign neoplasm of nasopharynx	skos:exactMatch	MONDO:0021478	benign neoplasm of nasopharynx	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	benign neoplasm of nasopharynx
ICD10CM:A28.1	Cat-scratch disease	skos:exactMatch	MONDO:0005692	cat-scratch disease	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	cat-scratch disease
ICD10CM:A28.1	Cat-scratch disease	skos:exactMatch	MONDO:0005692	cat-scratch disease	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	cat-scratch fever
MONDO:0013512	Alpha thalassemia	skos:exactMatch	ICD10CM:D56.0	hemoglobin H disease	semapv:LexicalMatching	LEXMATCH					
ICD10CM:D56.0	Alpha thalassemia	skos:exactMatch	MONDO:0013512	hemoglobin H disease	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	hemoglobin h disease
ICD10CM:D56.0	Alpha thalassemia	skos:exactMatch	MONDO:0013512	hemoglobin H disease	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	hemoglobin h disease
ICD10CM:Q79.3	Gastroschisis	skos:exactMatch	MONDO:0009264	gastroschisis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	gastroschisis
ICD10CM:Q79.3	Gastroschisis	skos:exactMatch	MONDO:0009264	gastroschisis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	gastroschisis
MONDO:0018895	Sideropenic dysphagia	skos:exactMatch	ICD10CM:D50.1	Plummer-Vinson syndrome	semapv:LexicalMatching	LEXMATCH					
ICD10CM:D50.1	Sideropenic dysphagia	skos:exactMatch	MONDO:0018895	Plummer-Vinson syndrome	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	sideropenic dysphagia
ICD10CM:D50.1	Sideropenic dysphagia	skos:exactMatch	MONDO:0018895	Plummer-Vinson syndrome	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	kelly-paterson syndrome
ICD10CM:D50.1	Sideropenic dysphagia	skos:exactMatch	MONDO:0018895	Plummer-Vinson syndrome	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	plummer-vinson syndrome
ICD10CM:P29.1	Neonatal cardiac dysrhythmia	skos:exactMatch	MONDO:0018684	idiopathic neonatal atrial flutter	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	neonatal cardiac dysrhythmia
ICD10CM:G47.419	Narcolepsy without cataplexy	skos:exactMatch	MONDO:0019371	narcolepsy without cataplexy	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	narcolepsy without cataplexy
ICD10CM:H31.21	Choroideremia	skos:exactMatch	MONDO:0010557	choroideremia	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	choroideremia
ICD10CM:H31.21	Choroideremia	skos:exactMatch	MONDO:0010557	choroideremia	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	choroideremia
MONDO:0019759	Epispadias	skos:exactMatch	ICD10CM:Q64.0	epispadias	semapv:LexicalMatching	LEXMATCH					
MONDO:0019759	Epispadias	skos:exactMatch	ICD10CM:Q64.0	epispadias	semapv:RegularExpressionReplacement	LEXMATCH					
ICD10CM:Q64.0	Epispadias	skos:exactMatch	MONDO:0019759	epispadias	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	epispadias
ICD10CM:Q64.0	Epispadias	skos:exactMatch	MONDO:0019759	epispadias	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	epispadias
ICD10CM:Q64.0	Epispadias	skos:exactMatch	MONDO:0019759	epispadias	semapv:RegularExpressionReplacement	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	epispadias
MONDO:0020517	Unifocal Langerhans-cell histiocytosis	skos:exactMatch	ICD10CM:C96.6	eosinophilic granuloma	semapv:LexicalMatching	LEXMATCH					
ICD10CM:C96.6	Unifocal Langerhans-cell histiocytosis	skos:exactMatch	MONDO:0020517	eosinophilic granuloma	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	eosinophilic granuloma
ICD10CM:C96.6	Unifocal Langerhans-cell histiocytosis	skos:exactMatch	MONDO:0020517	eosinophilic granuloma	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	eosinophilic granuloma
ICD10CM:D02.1	Carcinoma in situ of trachea	skos:exactMatch	MONDO:0004661	trachea carcinoma in situ	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	carcinoma in situ of trachea
MONDO:0006802	Syndrome of inappropriate secretion of antidiuretic hormone	skos:exactMatch	ICD10CM:E22.2	inappropriate ADH syndrome	semapv:LexicalMatching	LEXMATCH					
ICD10CM:E22.2	Syndrome of inappropriate secretion of antidiuretic hormone	skos:exactMatch	MONDO:0006802	inappropriate ADH syndrome	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	syndrome of inappropriate secretion of antidiuretic hormone
ICD10CM:B88.3	External hirudiniasis	skos:exactMatch	MONDO:0024303	external hirudiniasis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	external hirudiniasis
ICD10CM:H02.22	Mechanical lagophthalmos	skos:exactMatch	MONDO:0001622	mechanical lagophthalmos	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	mechanical lagophthalmos
MONDO:0015987	Other congenital malformations of great veins	skos:exactMatch	ICD10CM:Q26.8	scimitar syndrome	semapv:LexicalMatching	LEXMATCH					
ICD10CM:Q26.8	Other congenital malformations of great veins	skos:exactMatch	MONDO:0015987	scimitar syndrome	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	scimitar syndrome
MONDO:0007342	Congenital talipes equinovarus	skos:exactMatch	ICD10CM:Q66.0	clubfoot	semapv:LexicalMatching	LEXMATCH					
MONDO:0005810	Infectious mononucleosis	skos:exactMatch	ICD10CM:B27	infectious mononucleosis	semapv:LexicalMatching	LEXMATCH					
MONDO:0001725	Leukoplakia of penis	skos:exactMatch	ICD10CM:N48.0	balanitis xerotica obliterans	semapv:LexicalMatching	LEXMATCH					
ICD10CM:B27	Infectious mononucleosis	skos:exactMatch	MONDO:0005810	infectious mononucleosis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	pfeiffer's disease
ICD10CM:B27	Infectious mononucleosis	skos:exactMatch	MONDO:0005810	infectious mononucleosis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	glandular fever
ICD10CM:B27	Infectious mononucleosis	skos:exactMatch	MONDO:0005810	infectious mononucleosis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	monocytic angina
ICD10CM:B27	Infectious mononucleosis	skos:exactMatch	MONDO:0005810	infectious mononucleosis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	infectious mononucleosis
ICD10CM:G25.81	Restless legs syndrome	skos:exactMatch	MONDO:0005391	restless legs syndrome	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	restless legs syndrome
ICD10CM:N48.0	Leukoplakia of penis	skos:exactMatch	MONDO:0001725	balanitis xerotica obliterans	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	balanitis xerotica obliterans
ICD10CM:Q66.0	Congenital talipes equinovarus	skos:exactMatch	MONDO:0007342	clubfoot	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	congenital talipes equinovarus
MONDO:0015943	Polyarteritis with lung involvement [Churg-Strauss]	skos:exactMatch	ICD10CM:M30.1	eosinophilic granulomatosis with polyangiitis	semapv:LexicalMatching	LEXMATCH					
MONDO:0015943	Polyarteritis with lung involvement [Churg-Strauss]	skos:exactMatch	ICD10CM:M30.1	eosinophilic granulomatosis with polyangiitis	semapv:RegularExpressionReplacement	LEXMATCH					
ICD10CM:M30.1	Polyarteritis with lung involvement [Churg-Strauss]	skos:exactMatch	MONDO:0015943	eosinophilic granulomatosis with polyangiitis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	allergic granulomatous angiitis
ICD10CM:M30.1	Polyarteritis with lung involvement [Churg-Strauss]	skos:exactMatch	MONDO:0015943	eosinophilic granulomatosis with polyangiitis	semapv:RegularExpressionReplacement	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	eosinophilic granulomatosis with polyangiitis
MONDO:0005187	Other human herpesvirus infection	skos:exactMatch	ICD10CM:B10.89	human herpesvirus 8 infection	semapv:LexicalMatching	LEXMATCH					
ICD10CM:B10.89	Other human herpesvirus infection	skos:exactMatch	MONDO:0005187	human herpesvirus 8 infection	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	human herpesvirus 8 infection
ICD10CM:B10.89	Other human herpesvirus infection	skos:exactMatch	MONDO:0005187	human herpesvirus 8 infection	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	oio:hasExactSynonym	rdfs:label	human herpesvirus 8 infection
MONDO:0000859	Spina bifida occulta	skos:exactMatch	ICD10CM:Q76.0	spina bifida occulta	semapv:LexicalMatching	LEXMATCH					
MONDO:0000859	Spina bifida occulta	skos:exactMatch	ICD10CM:Q76.0	spina bifida occulta	semapv:RegularExpressionReplacement	LEXMATCH					
ICD10CM:Q76.0	Spina bifida occulta	skos:exactMatch	MONDO:0000859	spina bifida occulta	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	spina bifida occulta
ICD10CM:Q76.0	Spina bifida occulta	skos:exactMatch	MONDO:0000859	spina bifida occulta	semapv:RegularExpressionReplacement	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	spina bifida occulta
ICD10CM:Q76.0	Spina bifida occulta	skos:exactMatch	MONDO:0000859	spina bifida occulta	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	spina bifida occulta
ICD10CM:F60.5	Obsessive-compulsive personality disorder	skos:exactMatch	MONDO:0001158	obsessive-compulsive personality disorder	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	obsessive-compulsive personality disorder
ICD10CM:E71.540	Rhizomelic chondrodysplasia punctata	skos:exactMatch	MONDO:0015776	rhizomelic chondrodysplasia punctata	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	rhizomelic chondrodysplasia punctata
ICD10CM:E71.540	Rhizomelic chondrodysplasia punctata	skos:exactMatch	MONDO:0015776	rhizomelic chondrodysplasia punctata	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	rhizomelic chondrodysplasia punctata
MONDO:0019280	Hypertrichosis	skos:exactMatch	ICD10CM:L68	hypertrichosis	semapv:LexicalMatching	LEXMATCH					
MONDO:0019280	Hypertrichosis	skos:exactMatch	ICD10CM:L68	hypertrichosis	semapv:RegularExpressionReplacement	LEXMATCH					
ICD10CM:L68	Hypertrichosis	skos:exactMatch	MONDO:0019280	hypertrichosis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8497788951776651	rdfs:label	rdfs:label	hypertrichosis
ICD10CM:L68	Hypertrichosis	skos:exactMatch	MONDO:0019280	hypertrichosis	semapv:LexicalMatching	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	hypertrichosis
ICD10CM:L68	Hypertrichosis	skos:exactMatch	MONDO:0019280	hypertrichosis	semapv:RegularExpressionReplacement	LEXMATCH	oaklib	0.8	rdfs:label	oio:hasExactSynonym	hypertrichosis
MONDO:0004456	Cocaine abuse	skos:exactMatch	ICD10CM:F14.1	cocaine abuse	semapv:LexicalMatching	LEXMATCH					
