mondo_id	subset	ordo_id	mondo_label	ordo_label
MONDO:0000437	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:102002	cerebellar ataxia	Rare ataxia
MONDO:0000447	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:2924	autosomal dominant polycystic liver disease	Isolated polycystic liver disease
MONDO:0000453	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:51083	short QT syndrome	Familial short QT syndrome
MONDO:0000455	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:1871	cone dystrophy	Progressive cone dystrophy
MONDO:0000456	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:79172	cerebral creatine deficiency syndrome	Creatine deficiency syndrome
MONDO:0000463	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:2704	Ochoa syndrome	Urofacial syndrome
MONDO:0000476	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:376724	generalized dystonia	Generalized isolated dystonia
MONDO:0000507	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:52430	inclusion body myopathy with Paget disease of bone and frontotemporal dementia	Inclusion body myopathy with Paget disease of bone and frontotemporal dementia
MONDO:0000565	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:570762	infective endocarditis	Infective endocarditis
MONDO:0000645	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:180237	fallopian tube benign neoplasm	Benign tumor of fallopian tubes
MONDO:0000688	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:289899	inborn organic aciduria	Organic aciduria
MONDO:0000698	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:79175	gamma-amino butyric acid metabolism disorder	Disorder of gamma-aminobutyric acid metabolism
MONDO:0000733	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:53691	cornea plana	Congenital cornea plana
MONDO:0000736	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:241	dyschromatosis universalis hereditaria	Dyschromatosis universalis hereditaria
MONDO:0000754	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:228113	anal fistula	Anal fistula
MONDO:0000827	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:795	salmonellosis	Rare form of salmonellosis
MONDO:0000845	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:249	fibrous dysplasia	Fibrous dysplasia of bone
MONDO:0000859	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:645202	spina bifida occulta	Closed spinal dysraphism
MONDO:0000863	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:2598	myopathy, lactic acidosis, and sideroblastic anemia	Mitochondrial myopathy and sideroblastic anemia
MONDO:0000902	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:1496	agenesis of the corpus callosum with peripheral neuropathy	Corpus callosum agenesis-neuronopathy syndrome
MONDO:0000903	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:36899	myoclonus-dystonia syndrome	Myoclonus-dystonia syndrome
MONDO:0000914	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:136	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy
MONDO:0000995	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:371433	familial periodic paralysis	Genetic periodic paralysis
MONDO:0001029	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:2345	Klippel-Feil syndrome	Isolated Klippel-Feil syndrome
MONDO:0001032	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:519408	Mooren ulcer	Mooren ulcer
MONDO:0001195	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:102022	spotted fever	Spotted fever rickettsiosis
MONDO:0001246	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:102023	typhus	Typhus-group rickettsiosis
MONDO:0001280	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:280892	choroiditis	Posterior uveitis
MONDO:0001309	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:98685	oculomotor nerve paralysis	Rare oculomotor nerve disorder
MONDO:0001325	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:398043	penile cancer	Malignant tumor of penis
MONDO:0001347	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:269	facioscapulohumeral muscular dystrophy	Facioscapulohumeral dystrophy
MONDO:0001444	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:3386	Chagas disease	American trypanosomiasis
MONDO:0001549	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:544458	hemolytic-uremic syndrome	Hemolytic uremic syndrome
MONDO:0001569	http://purl.obolibrary.org/obo/mondo#ordo_subtype_of_a_disorder	Orphanet:252175	acoustic neuroma	Vestibular schwannoma
MONDO:0001586	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:579	mucopolysaccharidosis type 1	Mucopolysaccharidosis type 1
MONDO:0001595	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:1429	choreatic disease	Benign hereditary chorea
MONDO:0001633	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:648684	central retinal artery occlusion	Central retinal artery occlusion
MONDO:0001676	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:659681	erythropoietic protoporphyria	Erythropoietic porphyria
MONDO:0001703	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:98658	color vision disorder	Color-vision disease
MONDO:0001713	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:68383	inherited aplastic anemia	Rare constitutional aplastic anemia
MONDO:0001734	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:805	tuberous sclerosis	Tuberous sclerosis complex
MONDO:0001790	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:645276	spinal cord lipoma	Spinal cord lipoma
MONDO:0001881	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:36234	toxic shock syndrome	Bacterial toxic-shock syndrome
MONDO:0001945	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:97349	postencephalitic Parkinson disease	Postencephalitic parkinsonism
MONDO:0001956	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:188	capillary leak syndrome	Systemic capillary leak syndrome
MONDO:0001971	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:99906	farmer's lung disease	Farmer's lung disease
MONDO:0002013	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:2415	lymphangioma	Rare lymphatic malformation
MONDO:0002095	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:673466	vascular cancer	Malignant vascular tumor
MONDO:0002096	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:617910	malignant conjunctival melanoma	Conjunctival malignant melanoma
MONDO:0002142	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:2023	undifferentiated pleomorphic sarcoma	Undifferentiated pleomorphic sarcoma
MONDO:0002145	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:90771	disorder of sexual differentiation	Difference of sex development
MONDO:0002158	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:180242	fallopian tube cancer	Malignant tumor of fallopian tubes
MONDO:0002303	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:411527	central retinal vein occlusion	Central retinal vein occlusion
MONDO:0002412	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:79201	disorder of glycogen metabolism	Glycogen storage disease
MONDO:0002413	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:364	glycogen storage disease I	Glycogen storage disease due to glucose-6-phosphatase deficiency
MONDO:0002422	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:55881	adamantinoma	Adamantinoma
MONDO:0002429	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:98300	idiopathic interstitial pneumonia	Idiopathic interstitial pneumonia
MONDO:0002441	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:90647	Jervell and Lange-Nielsen syndrome	Jervell and Lange-Nielsen syndrome
MONDO:0002457	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:861	Treacher-Collins syndrome	Treacher-Collins syndrome
MONDO:0002474	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:416	primary hyperoxaluria	Primary hyperoxaluria
MONDO:0002520	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:659694	hepatic porphyria	Hepatic porphyria
MONDO:0002525	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:309005	inherited lipid metabolism disorder	Disorder of lipid metabolism
MONDO:0002546	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:252164	schwannoma	Benign schwannoma
MONDO:0002561	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:68366	lysosomal storage disease	Lysosomal disease
MONDO:0002571	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:46135	primary central nervous system lymphoma	Primary central nervous system lymphoma
MONDO:0002588	http://purl.obolibrary.org/obo/mondo#ordo_subtype_of_a_disorder	Orphanet:263310	thymoma type A	Thymoma type A
MONDO:0002629	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:668	bone osteosarcoma	Osteosarcoma
MONDO:0002653	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:398053	Paget disease of the penis	Adenocarcinoma of the penis
MONDO:0002684	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:251902	atypical choroid plexus papilloma	Atypical papilloma of choroid plexus
MONDO:0002687	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:622099	superior mesenteric artery syndrome	Superior mesenteric artery syndrome
MONDO:0002697	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:206484	ovarian gonadoblastoma	Gonadoblastoma
MONDO:0002718	http://purl.obolibrary.org/obo/mondo#ordo_subtype_of_a_disorder	Orphanet:252018	central nervous system teratoma	Teratoma of the central nervous system
MONDO:0002728	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:69077	rhabdoid tumor	Rhabdoid tumor
MONDO:0002735	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:424016	anal canal adenocarcinoma	Adenocarcinoma of the anal canal
MONDO:0002752	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:213504	ovarian adenocarcinoma	Adenocarcinoma of ovary
MONDO:0002876	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:213792	cervical adenosarcoma	Adenosarcoma of the cervix uteri
MONDO:0002877	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:213787	cervical carcinosarcoma	Carcinosarcoma of the cervix uteri
MONDO:0002878	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:213600	uterine corpus adenosarcoma	Adenosarcoma of the corpus uteri
MONDO:0002882	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:100080	colon neuroendocrine neoplasm	Neuroendocrine tumor of the colon
MONDO:0002955	http://purl.obolibrary.org/obo/mondo#ordo_subtype_of_a_disorder	Orphanet:494451	vulva basal cell carcinoma	Vulvar basal cell carcinoma
MONDO:0003010	http://purl.obolibrary.org/obo/mondo#ordo_subtype_of_a_disorder	Orphanet:319287	multilocular clear cell renal cell carcinoma	Multilocular cystic renal neoplasm of low malignant potential
MONDO:0003011	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:319322	mucinous tubular and spindle renal cell carcinoma	Mucinous tubular and spindle cell renal carcinoma
MONDO:0003111	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:100075	gastric neuroendocrine neoplasm	Neuroendocrine tumor of stomach
MONDO:0003125	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:363489	testicular sex cord-stromal neoplasm	Sex cord-stromal tumor of testis
MONDO:0003198	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:104075	small intestine adenocarcinoma	Adenocarcinoma of the small intestine
MONDO:0003258	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:675362	hobnail hemangioma	Hobnail hemangioma
MONDO:0003266	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:301	ependymal tumor	Ependymal tumor
MONDO:0003345	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:99978	hilar cholangiocarcinoma	Klatskin tumor
MONDO:0003360	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:104076	small intestine leiomyosarcoma	Leiomyosarcoma of small intestine
MONDO:0003414	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:499182	skin pilomatrix carcinoma	Pilomatrix carcinoma
MONDO:0003429	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:314753	functioning pituitary gland adenoma	Functioning pituitary adenoma
MONDO:0003582	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:145	hereditary breast ovarian cancer syndrome	Hereditary breast and/or ovarian cancer syndrome
MONDO:0003630	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:424073	pancreatic serous cystadenocarcinoma	Serous cystadenocarcinoma of pancreas
MONDO:0003646	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:100081	rectum neuroendocrine neoplasm	Neuroendocrine tumor of the rectum
MONDO:0003649	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:506136	esophageal neuroendocrine tumor	Neuroendocrine neoplasm of esophagus
MONDO:0003669	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:842	testicular seminoma	Testicular seminomatous germ cell tumor
MONDO:0003778	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:101997	inborn error of immunity	Primary immunodeficiency
MONDO:0003789	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:47044	hereditary papillary renal cell carcinoma	Hereditary papillary renal cell carcinoma
MONDO:0003792	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:213512	ovarian carcinosarcoma	Malignant mixed Müllerian tumor of the ovary
MONDO:0003795	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:370396	ovarian small cell carcinoma	Small cell carcinoma of the ovary
MONDO:0003832	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:459345	complement deficiency	Immunodeficiency due to a complement cascade component deficiency
MONDO:0003999	http://purl.obolibrary.org/obo/mondo#ordo_subtype_of_a_disorder	Orphanet:673580	juvenile pilocytic astrocytoma	Classic pilocytic astrocytoma
MONDO:0004069	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:68380	inborn mitochondrial metabolism disorder	Mitochondrial disease
MONDO:0004114	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:284400	urinary bladder small cell neuroendocrine carcinoma	Small cell carcinoma of the bladder
MONDO:0004132	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:424019	anal canal squamous cell carcinoma	Squamous cell carcinoma of the anal canal
MONDO:0004150	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:180267	breast giant fibroadenoma	Giant adenofibroma of the breast
MONDO:0004187	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:477742	nodular fasciitis	Nodular fasciitis
MONDO:0004216	http://purl.obolibrary.org/obo/mondo#ordo_subtype_of_a_disorder	Orphanet:91352	pineal region germinoma	Germinoma of the central nervous system
MONDO:0004234	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:512017	chronic lymphoproliferative disorder of NK-cells	Chronic lymphoproliferative disorder of natural killer cells
MONDO:0004241	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:97335	Osgood-Schlatter disease	Osgood-Schlatter disease
MONDO:0004285	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:424058	pancreatic intraductal papillary-mucinous carcinoma	Intraductal papillary mucinous carcinoma of pancreas
MONDO:0004334	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:506075	non-functional pancreatic neuroendocrine tumor	Non-functioning neuroendocrine tumor of pancreas
MONDO:0004351	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:279904	intraocular lymphoma	Primary intraocular lymphoma
MONDO:0004380	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:86903	dendritic cell sarcoma	Dendritic cell sarcoma not otherwise specified
MONDO:0004542	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:213833	cervical adenosquamous carcinoma, glassy cell variant	Glassy cell carcinoma of the cervix uteri
MONDO:0004604	http://purl.obolibrary.org/obo/mondo#ordo_subtype_of_a_disorder	Orphanet:98845	Hodgkin's lymphoma, lymphocytic-histiocytic predominance	Classic Hodgkin lymphoma, lymphocyte-rich type
MONDO:0004620	http://purl.obolibrary.org/obo/mondo#ordo_subtype_of_a_disorder	Orphanet:98846	Hodgkin's lymphoma, lymphocytic depletion	Classic Hodgkin lymphoma, lymphocyte-depleted type
MONDO:0004633	http://purl.obolibrary.org/obo/mondo#ordo_subtype_of_a_disorder	Orphanet:98844	Hodgkin's lymphoma, mixed cellularity	Classic Hodgkin lymphoma, mixed cellularity type
MONDO:0004653	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:98824	atypical chronic myeloid leukemia, BCR-ABL1 negative	Atypical chronic myeloid leukemia
MONDO:0004665	http://purl.obolibrary.org/obo/mondo#ordo_subtype_of_a_disorder	Orphanet:98843	nodular sclerosis classical Hodgkin lymphoma	Classic Hodgkin lymphoma, nodular sclerosis type
MONDO:0004672	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:658909	fasciolopsiasis	Fasciolopsiasis
MONDO:0004684	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:199251	plantar fibromatosis	Ledderhose disease
MONDO:0004691	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:730	autosomal dominant polycystic kidney disease	Autosomal dominant polycystic kidney disease
MONDO:0004739	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:79167	urea cycle disorder	Disorder of urea cycle metabolism and ammonia detoxification
MONDO:0004745	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:140949	priapism	Low-flow priapism
MONDO:0004772	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:636950	glaucomatocyclitic crisis	Glaucomatocyclitic crisis disease
MONDO:0004907	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:79364	alopecia	Alopecia
MONDO:0004933	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:2248	hypoplastic left heart syndrome	Hypoplastic left heart syndrome
MONDO:0004948	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:67038	B-cell chronic lymphocytic leukemia	B-cell chronic lymphocytic leukemia
MONDO:0004952	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:98293	Hodgkins lymphoma	Hodgkin lymphoma
MONDO:0004958	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:502363	oral cavity squamous cell carcinoma	Squamous cell carcinoma of the oral cavity
MONDO:0004959	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:98282	plasma cell neoplasm	Plasma cell tumor
MONDO:0004967	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:513	acute lymphoblastic leukemia	Acute lymphoblastic leukemia
MONDO:0004976	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:803	amyotrophic lateral sclerosis	Amyotrophic lateral sclerosis
MONDO:0004977	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:86886	angioimmunoblastic T-cell lymphoma	Angioimmunoblastic T-cell lymphoma
MONDO:0004994	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:167848	cardiomyopathy	Rare cardiomyopathy
MONDO:0005005	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:319276	clear cell renal carcinoma	Clear cell renal carcinoma
MONDO:0005006	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:457246	clear cell sarcoma of kidney	Clear cell sarcoma of kidney
MONDO:0005021	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:217604	dilated cardiomyopathy	Dilated cardiomyopathy
MONDO:0005028	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:99976	esophageal adenocarcinoma	Adenocarcinoma of the esophagus
MONDO:0005029	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:3318	essential thrombocythemia	Essential thrombocythemia
MONDO:0005033	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:251992	ganglioneuroma	Ganglioneuroma
MONDO:0005035	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:251877	ganglioneuroblastoma	Ganglioneuroblastoma
MONDO:0005045	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:217569	hypertrophic cardiomyopathy	Rare hypertrophic cardiomyopathy
MONDO:0005048	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:97279	pancreatic insulin-producing neuroendocrine tumor	Insulinoma
MONDO:0005055	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:33276	Kaposi's sarcoma	Kaposi sarcoma
MONDO:0005058	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:64720	leiomyosarcoma	Leiomyosarcoma
MONDO:0005060	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:69078	liposarcoma	Liposarcoma
MONDO:0005062	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:223735	lymphoma	Lymphoma
MONDO:0005072	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:635	neuroblastoma	Neuroblastoma
MONDO:0005077	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:1489	pertussis	Whooping cough
MONDO:0005081	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:275555	preeclampsia	Preeclampsia
MONDO:0005086	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:217071	renal cell carcinoma	Renal cell carcinoma
MONDO:0005091	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:140896	severe acute respiratory syndrome	Severe acute respiratory syndrome
MONDO:0005100	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:90291	systemic sclerosis	Systemic sclerosis
MONDO:0005103	http://purl.obolibrary.org/obo/mondo#ordo_subtype_of_a_disorder	Orphanet:99971	well-differentiated liposarcoma	Well-differentiated liposarcoma
MONDO:0005115	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:98819	temporal lobe epilepsy	Familial temporal lobe epilepsy
MONDO:0005116	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:3452	Whipple disease	Whipple disease
MONDO:0005124	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:548	leprosy	Leprosy
MONDO:0005136	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:673	malaria	Malaria
MONDO:0005153	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:213772	cervical adenocarcinoma	Adenocarcinoma of the cervix uteri
MONDO:0005164	http://purl.obolibrary.org/obo/mondo#ordo_disorder	Orphanet:2030	fibrosarcoma	Fibrosarcoma
MONDO:0005181	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Orphanet:520820	progressive external ophthalmoplegia	Progressive external ophthalmoplegia
