mondo_id	mondo_label	subject_source_id	subject_source_label	object_source_id	object_source_label
MONDO:0006639	adrenal cortex carcinoma	DOID:3959	adrenal cortical adenocarcinoma	DOID:3948	adrenocortical carcinoma
MONDO:0006676	beriberi	DOID:13725	beriberi	DOID:0070313	thiamine deficiency disease
MONDO:0006733	dry eye syndrome	DOID:12895	keratoconjunctivitis sicca	DOID:10140	dry eye syndrome
MONDO:0006962	sebaceous adenocarcinoma	DOID:4839	sebaceous adenocarcinoma	DOID:4840	sebaceous carcinoma
MONDO:0007187	nevoid basal cell carcinoma syndrome	DOID:0070365	nevoid basal cell carcinoma syndrome 1	DOID:2512	nevoid basal cell carcinoma syndrome
MONDO:0007256	hepatocellular carcinoma	DOID:684	hepatocellular carcinoma	DOID:686	liver carcinoma
MONDO:0008048	autosomal dominant centronuclear myopathy	DOID:0111223	centronuclear myopathy 1	DOID:0111217	autosomal dominant centronuclear myopathy
MONDO:0008433	small cell lung carcinoma	DOID:5411	lung oat cell carcinoma	DOID:5409	lung small cell carcinoma
MONDO:0008675	Freeman-Sheldon syndrome	DOID:0111605	distal arthrogryposis type 2A	DOID:0111604	Freeman-Sheldon syndrome
MONDO:0008803	Antley-Bixler syndrome	DOID:0050462	Antley-Bixler syndrome with disordered steroidogenesis	DOID:0081289	Antley-Bixler syndrome
MONDO:0009698	Unverricht-Lundborg syndrome	DOID:0111452	progressive myoclonus epilepsy 1A	DOID:3535	Unverricht-Lundborg syndrome
MONDO:0011996	chronic myelogenous leukemia, BCR-ABL1 positive	DOID:0081088	chronic myelogenous leukemia, BCR-ABL1 positive	DOID:8552	chronic myeloid leukemia
MONDO:0012883	acute promyelocytic leukemia	DOID:0081081	acute promyelocytic leukemia with PML-RARA	DOID:0060318	acute promyelocytic leukemia
MONDO:0013209	metabolic dysfunction-associated steatotic liver disease	DOID:0080546	non-alcoholic fatty liver	DOID:0080208	metabolic dysfunction-associated steatotic liver disease
MONDO:0014561	3-methylglutaconic aciduria, type VIIB	DOID:0081134	3-methylglutaconic aciduria type 7b	DOID:0110003	3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia
MONDO:0014622	isolated focal non-epidermolytic palmoplantar keratoderma	DOID:0111711	focal nonepidermolytic palmoplantar keratoderma 2	DOID:0111708	focal nonepidermolytic palmoplantar keratoderma
MONDO:0015131	combined immunodeficiency	DOID:628	combined T cell and B cell immunodeficiency	DOID:0111962	combined immunodeficiency
MONDO:0016575	primary ciliary dyskinesia	DOID:0050144	Kartagener syndrome	DOID:9562	primary ciliary dyskinesia
MONDO:0016612	X-linked cerebellar ataxia	DOID:0111828	X-linked cerebellar ataxia	DOID:0050953	X-linked hereditary ataxia
MONDO:0016700	anaplastic ependymoma	DOID:5889	anaplastic ependymoma	DOID:5074	high grade ependymoma
MONDO:0019004	kidney Wilms tumor	DOID:5176	renal Wilms' tumor	DOID:2154	nephroblastoma
MONDO:0019046	leukodystrophy	DOID:0060786	hypomyelinating leukodystrophy	DOID:10579	leukodystrophy
MONDO:0019118	inherited retinal dystrophy	DOID:8500	hereditary retinal dystrophy	DOID:8501	fundus dystrophy
MONDO:0020513	spermatocytic seminoma	DOID:7891	testicular spermatocytic seminoma	DOID:5834	spermatocytoma
MONDO:0005044	hypertensive disorder	ICD10CM:I15	Secondary hypertension	ICD10CM:I10-I16	Hypertensive diseases (I10-I16)
MONDO:0005178	osteoarthritis	ICD10CM:M19	Other and unspecified osteoarthritis	ICD10CM:M15-M19	Osteoarthritis (M15-M19)
MONDO:0005385	vascular disorder	ICD10CM:I70-I79	Diseases of arteries, arterioles and capillaries (I70-I79)	ICD10CM:I00-I99	Diseases of the circulatory system (I00-I99)
MONDO:0024647	urolithiasis	ICD10CM:N21	Calculus of lower urinary tract	ICD10CM:N20-N23	Urolithiasis (N20-N23)
MONDO:0005579	epilepsy, idiopathic generalized	OMIM:600669	epilepsy, idiopathic generalized	OMIMPS:600669	
MONDO:0009563	maple syrup urine disease	OMIM:248600	maple syrup urine disease	OMIMPS:248600	
MONDO:0009696	juvenile myoclonic epilepsy	OMIM:254770	epilepsy, myoclonic juvenile	OMIMPS:254770	
MONDO:0019200	retinitis pigmentosa	OMIM:268000	retinitis pigmentosa	OMIMPS:268000	
MONDO:0001748	maxillary sinus carcinoma	NCIT:C9332	Maxillary Sinus Carcinoma	NCIT:C3540	Malignant Maxillary Sinus Neoplasm
MONDO:0002119	ossifying fibroma	NCIT:C8422	Cemento-Ossifying Fibroma	NCIT:C173820	Ossifying Fibroma
MONDO:0002142	undifferentiated pleomorphic sarcoma	NCIT:C114541	Adult Undifferentiated Pleomorphic Sarcoma	NCIT:C4247	Undifferentiated Pleomorphic Sarcoma
MONDO:0004473	epiglottis cancer	NCIT:C35697	Epiglottic Carcinoma	NCIT:C4836	Malignant Epiglottis Neoplasm
MONDO:0005272	myelodysplastic syndrome with single lineage dysplasia	NCIT:C2872	Refractory Anemia	NCIT:C82591	Myelodysplastic Syndrome, Not Otherwise Specified with Single Lineage Dysplasia
MONDO:0006490	vaginal squamous cell carcinoma	NCIT:C7736	Vaginal Squamous Cell Carcinoma, Not Otherwise Specified	NCIT:C180915	Vaginal Squamous Cell Carcinoma
MONDO:0011655	alveolar soft part sarcoma	NCIT:C7943	Adult Alveolar Soft Part Sarcoma	NCIT:C3750	Alveolar Soft Part Sarcoma
MONDO:0021632	primary brain neoplasm	NCIT:C4952	Localized Brain Neoplasm	NCIT:C170814	Primary Brain Neoplasm
MONDO:0024477	liver and intrahepatic bile duct neoplasm	NCIT:C7106	Liver Epithelial Neoplasm	NCIT:C7103	Liver Neoplasm
MONDO:0044792	large congenital melanocytic nevus	NCIT:C4234	Giant Congenital Nevus	NCIT:C3944	Congenital Melanocytic Nevus
