subject_id	object_id	subject_label	object_label	in_icd10cm
MONDO:0002616	MONDO:0005070	mesenchymal cell neoplasm	neoplasm	True
MONDO:0023286	MONDO:0002771	graphite pneumoconiosis	pulmonary fibrosis	True
MONDO:0020489	MONDO:0018541	familial hyperreninemic hypoaldosteronism type 1	familial hypoaldosteronism	True
MONDO:0014602	MONDO:0100172	intellectual disability-macrocephaly-hypotonia-behavioral abnormalities syndrome	intellectual disability, autosomal dominant	True
MONDO:0009577	MONDO:0005328	megalocornea-intellectual disability syndrome	eye disorder	True
MONDO:0011921	MONDO:0015385	aural atresia, congenital	external auditory canal aplasia/hypoplasia	True
MONDO:0024524	MONDO:0000736	dyschromatosis universalis hereditaria 1	dyschromatosis universalis hereditaria	True
MONDO:0012747	MONDO:0017688	glycogen storage disease due to aldolase A deficiency	disorder of glycolysis	True
MONDO:0006139	MONDO:0002256	cervical metaplasia	cervix disorder	True
MONDO:0004218	MONDO:0003750	childhood germ cell brain tumor	childhood central nervous system germ cell tumor	True
MONDO:0800107	MONDO:0002070	anterior deviation infundibular septum	ventricular septal defect	True
MONDO:0014533	MONDO:0018614	developmental and epileptic encephalopathy, 28	undetermined early-onset epileptic encephalopathy	True
MONDO:0024345	MONDO:0006547	pityriasis streptogenes	exanthem	True
MONDO:0008869	MONDO:0019342	Seckel syndrome 1	Seckel syndrome	True
MONDO:0002792	MONDO:0007959	cerebellar vermis medulloblastoma	medulloblastoma	True
MONDO:0013033	MONDO:0016215	cerebral palsy, spastic quadriplegic, 2	spastic quadriplegic cerebral palsy	True
MONDO:0015528	MONDO:0003396	congenital epulis	epulis	True
MONDO:0018566	MONDO:0018239	short stature-advanced bone age-early-onset osteoarthritis syndrome	aggrecan-related bone disorder	True
MONDO:0008598	MONDO:0019278	trichodysplasia-xeroderma syndrome	hair anomaly	True
MONDO:0003453	MONDO:0020204	conjunctival intraepithelial neoplasm	conjunctival tumor	True
MONDO:0006142	MONDO:0000402	cervical small cell carcinoma	small cell carcinoma	True
MONDO:0014780	MONDO:0016596	hyperphosphatasia with intellectual disability syndrome 6	hyperphosphatasia-intellectual disability syndrome	True
MONDO:0025082	MONDO:0024969	helminthiasis, animal	parasitic disease, non-human animal	True
MONDO:0002518	MONDO:0021253	gallbladder papillary neoplasm	gallbladder neoplasm	True
MONDO:0024666	MONDO:0021440	benign epithelial skin neoplasm	benign neoplasm of skin	True
MONDO:0002868	MONDO:0003420	bile duct mucinous cystic neoplasm with an associated invasive carcinoma	bile duct cystadenoma	True
MONDO:0009904	MONDO:0002254	Gitelman syndrome	syndromic disease	True
MONDO:0004077	MONDO:0000812	lumbosacral lipoma	vertebral column disorder	True
MONDO:0010040	MONDO:0003847	ataxia, spastic, childhood-onset, autosomal recessive, with optic atrophy and intellectual disability	hereditary disease	True
MONDO:0015518	MONDO:0005559	infantile bilateral striatal necrosis	neurodegenerative disease	True
MONDO:0025986	MONDO:0003847	megacystis-microcolon-intestinal hypoperistalsis syndrome	hereditary disease	True
MONDO:0016789	MONDO:0045022	pyruvate metabolism disorder	disorder of organic acid metabolism	True
MONDO:0011783	MONDO:0005500	ALG12-congenital disorder of glycosylation	congenital disorder of glycosylation type I	True
MONDO:0005594	MONDO:0005093	severe cutaneous adverse reaction	skin disorder	True
MONDO:0005834	MONDO:0005833	lymphogranuloma venereum	lymphatic system disorder	True
MONDO:0000937	MONDO:0007000	syphilitic encephalitis	Treponema infectious disease	True
MONDO:0008148	MONDO:0800064	osteogenesis imperfecta type 4		True
MONDO:0004214	MONDO:0003464	ovarian endometrioid cystadenofibroma	cystadenofibroma	True
MONDO:0015723	MONDO:0016933	trisomy 12p	partial trisomy/tetrasomy of the short arm of chromosome 12	True
MONDO:0007886	MONDO:0001572	uterine corpus leiomyoma	leiomyoma	True
MONDO:0020340	MONDO:0017091	bilateral perisylvian polymicrogyria	bilateral polymicrogyria	True
MONDO:0003593	MONDO:0005060	breast liposarcoma	liposarcoma	True
MONDO:0013120	MONDO:0010765	46,XY sex reversal 5	46,XY complete gonadal dysgenesis	True
MONDO:0006491	MONDO:0007899	vulvar lichen sclerosus	lichen sclerosus et atrophicus	True
MONDO:0020761	MONDO:0020760	Bowen disease of the skin	skin squamous cell carcinoma in situ	True
MONDO:0020363	MONDO:0020212	honey-droplet corneal dystrophy	superficial corneal dystrophy	True
MONDO:0013178	MONDO:0019950	congenital muscular dystrophy due to LMNA mutation	congenital muscular dystrophy	True
MONDO:0011362	MONDO:0016112	myopathy, myofibrillar, 9, with early respiratory failure	hereditary inclusion-body myopathy	True
MONDO:0004251	MONDO:0021118	small intestine neoplasm	intestinal neoplasm	True
MONDO:0100251	MONDO:0017743	familial hyperphosphatemic tumoral calcinosis/hyperphosphatemic hyperostosis syndrome	disorder of O-N-acetylgalactosaminylglycan synthesis	True
MONDO:0019130	MONDO:0002254	tubular renal disease-cardiomyopathy syndrome	syndromic disease	True
MONDO:0006543	MONDO:0019276	epidermolysis bullosa dystrophica	inherited epidermolysis bullosa	True
MONDO:0024473	MONDO:0005677	Astrakhan spotted fever		True
MONDO:0002357	MONDO:0002238	hepatic flexure cancer	ascending colon cancer	True
MONDO:0012080	MONDO:0000075	neuronopathy, distal hereditary motor, type 2B		True
MONDO:0015337	MONDO:0015469	isolated craniosynostosis	craniosynostosis	True
MONDO:0008727	MONDO:0018479	congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency	congenital adrenal hyperplasia	True
MONDO:0009513	MONDO:0015222	laryngo-onycho-cutaneous syndrome	syndromic respiratory or mediastinal malformation	True
MONDO:0008753	MONDO:0017307	alkaptonuria	disorder of tyrosine metabolism	True
MONDO:0011760	MONDO:0001586	Scheie syndrome	mucopolysaccharidosis type 1	True
MONDO:0001852	MONDO:0004699	small intestine lymphoma	gastrointestinal lymphoma	True
MONDO:0008786	MONDO:0015194	pyridoxine-responsive sideroblastic anemia	sideroblastic anemia	True
MONDO:0024271	MONDO:0024270	intestinal helminthiasis	parasitic intestinal disorder	True
MONDO:0015755	MONDO:0019952	myopathy with hexagonally cross-linked tubular arrays	congenital myopathy	True
MONDO:0017029	MONDO:0021117	Langerhans cell histiocytosis specific to adulthood	lung neoplasm	True
MONDO:0013775	MONDO:0100240	thrombomodulin-related bleeding disorder	inherited thrombophilia	True
MONDO:0014274	MONDO:0005570	L-ferritin deficiency	hematologic disorder	True
MONDO:0015818	MONDO:0000621	aggressive primary cutaneous B-cell lymphoma	immune system cancer	True
MONDO:0016559	MONDO:0018174	glaucoma secondary to spherophakia/ectopia lentis and megalocornea	hereditary glaucoma	True
MONDO:0009451	MONDO:0015823	Nezelof syndrome	primary immunodeficiency due to a defect in adaptive immunity	True
MONDO:0001129	MONDO:0006329	nasal cavity olfactory neuroblastoma	olfactory neuroblastoma	True
MONDO:0014591	MONDO:0008389	autosomal dominant Robinow syndrome 2	autosomal dominant Robinow syndrome	True
MONDO:0006291	MONDO:0021089	malignant jugulotympanic paraganglioma	peripheral nervous system cancer	True
MONDO:0003159	MONDO:0002243	vascular hemostatic disease	hemorrhagic disease	True
MONDO:0000919	MONDO:0000920	ampulla of vater cancer	duodenum cancer	True
MONDO:0015691	MONDO:0002254	hypereosinophilic syndrome	syndromic disease	True
MONDO:0006915	MONDO:0002562	polyradiculoneuropathy	demyelinating disease	True
MONDO:0018531	MONDO:0006181	carcinoma of liver and intrahepatic biliary tract	digestive system carcinoma	True
MONDO:0013489	MONDO:0019588	autosomal recessive nonsyndromic hearing loss 89	hearing loss, autosomal recessive	True
MONDO:0012637	MONDO:0005501	COG1-congenital disorder of glycosylation	congenital disorder of glycosylation type II	True
MONDO:0015191	MONDO:0017574	myopathic intestinal pseudoobstruction	chronic intestinal pseudoobstruction	True
MONDO:0009252	MONDO:0017689	essential fructosuria	disorder of fructose metabolism	True
MONDO:0859205	MONDO:0016072	delayed puberty, self-limited	anomaly of puberty or/and menstrual cycle of genetic origin	True
MONDO:0000870	MONDO:0004967	childhood acute lymphoblastic leukemia	acute lymphoblastic leukemia	True
MONDO:0004028	MONDO:0003361	small intestinal fibrosarcoma	small intestinal sarcoma	True
MONDO:0859233	MONDO:0017612	epidermolysis bullosa, junctional 6, with pyloric atresia	junctional epidermolysis bullosa	True
MONDO:0001506	MONDO:0005280	prostatocystitis	prostatitis	True
MONDO:0002381	MONDO:0006615	sweat gland neoplasm	sweat gland disorder	True
MONDO:0013230	MONDO:0013229	epilepsy, hot water, 2	hot water reflex epilepsy	True
MONDO:0017138	MONDO:0003847	Opitz G/BBB syndrome	hereditary disease	True
MONDO:0004411	MONDO:0015063	duodenal gastrin-producing neuroendocrine tumor	duodenal neuroendocrine tumor, well differentiated, low or intermediate grade	True
MONDO:0002259	MONDO:0005151	gonadal disorder	endocrine system disorder	True
MONDO:0000625	MONDO:0003150	benign male reproductive system neoplasm	male reproductive system disorder	True
MONDO:0013216	MONDO:0015253	Diamond-Blackfan anemia 9	Diamond-Blackfan anemia	True
MONDO:0003915	MONDO:0016974	cortical thymoma	thymoma type B	True
MONDO:0013022	MONDO:0100170	restless legs syndrome, susceptibility to, 7	restless legs syndrome, susceptibility to	True
MONDO:0012984	MONDO:0015905	PHARC syndrome	syndromic dyslipidemia	True
MONDO:0018319	MONDO:0020127	familial episodic pain syndrome	hereditary peripheral neuropathy	True
MONDO:0009727	MONDO:0019697	atelosteogenesis type II	mesomelic and rhizo-mesomelic dysplasia	True
MONDO:0023113	MONDO:0017128	familial colorectal cancer	inherited digestive tract tumor	True
MONDO:0020744	MONDO:0000467	Mobitz type I atrioventricular block	second-degree atrioventricular block	True
MONDO:0002797	MONDO:0003263	childhood medulloblastoma	childhood cerebellar neoplasm	True
MONDO:0005526	MONDO:0020010	tetanus	infectious disorder of the nervous system	True
MONDO:0020300	MONDO:0017704	autosomal dominant nocturnal frontal lobe epilepsy	familial partial epilepsy	True
MONDO:0019609	MONDO:0015327	Zellweger spectrum disorders	developmental anomaly of metabolic origin	True
MONDO:0008264	MONDO:0000426	autosomal dominant medullary cystic kidney disease with or without hyperuricemia	autosomal dominant disease	True
MONDO:0016731	MONDO:0016729	desmoplastic infantile astrocytoma/ganglioglioma	mixed neuronal-glial tumor	True
MONDO:0011509	MONDO:0003847	low density lipoprotein cholesterol, mild elevation of	hereditary disease	True
MONDO:0009950	MONDO:0006506	pyruvate kinase deficiency of red cells	congenital nonspherocytic hemolytic anemia	True
MONDO:0020539	MONDO:0021656	extragonadal non-dysgerminomatous germ cell tumor	nongerminomatous germ cell tumor	True
MONDO:0043762	MONDO:0002156	tubal pregnancy	fallopian tube disorder	True
MONDO:0020093	MONDO:0000426	autosomal dominant isolated diffuse palmoplantar keratoderma	autosomal dominant disease	True
MONDO:0025163	MONDO:0024913	white heifer disease	cattle disease	True
MONDO:0011532	MONDO:0017914	hereditary spastic paraplegia 13	pure or complex autosomal dominant spastic paraplegia	True
MONDO:0007721	MONDO:0004298	hiatus hernia	stomach disorder	True
MONDO:0007201	MONDO:0000426	blepharophimosis, ptosis, and epicanthus inversus syndrome	autosomal dominant disease	True
MONDO:0008711	MONDO:0015160	Goodman syndrome		True
MONDO:0032879	MONDO:0003847	megabladder, congenital	hereditary disease	True
MONDO:0019056	MONDO:0005071	neuromuscular disease	nervous system disorder	True
MONDO:0043127	MONDO:0000728	mehta lewis patton syndrome	ptosis	True
MONDO:0011578	MONDO:0017891	familial papillary thyroid carcinoma with renal papillary neoplasia	inherited renal cancer-predisposing syndrome	True
MONDO:0008473	MONDO:0100510	spondyloepimetaphyseal dysplasia, Maroteaux type	spondyloepimetaphyseal dysplasia	True
MONDO:0013876	MONDO:0100047	basal cell carcinoma, susceptibility to, 7		True
MONDO:0006287	MONDO:0002402	malignancy in giant cell tumor of bone	malignant giant cell tumor	True
MONDO:0001505	MONDO:0002251	alcoholic hepatitis	hepatitis	True
MONDO:0018614	MONDO:0015653	undetermined early-onset epileptic encephalopathy	monogenic epilepsy	True
MONDO:0008936	MONDO:0003847	cerebellar ataxia and neurosensory deafness	hereditary disease	True
MONDO:0014310	MONDO:0016382	hereditary sclerosing poikiloderma with tendon and pulmonary involvement	hereditary poikiloderma	True
MONDO:0001285	MONDO:0005133	endometriosis of pelvic peritoneum	endometriosis	True
MONDO:0020275	MONDO:0043209	oculocutaneous or ocular albinism	albinism	True
MONDO:0013084	MONDO:0020573	neuroblastoma, susceptibility to, 4	inherited disease susceptibility	True
MONDO:0019198	MONDO:0017255	sympathetic ophthalmia	panuveitis	True
MONDO:0004732	MONDO:0004647	kidney carcinoma in situ	in situ carcinoma	True
MONDO:0045070	MONDO:0002516	digestive system melanoma	digestive system cancer	True
MONDO:0012180	MONDO:0016342	arrhythmogenic right ventricular dysplasia 9	familial isolated arrhythmogenic right ventricular dysplasia	True
