subject_id	subject_label
Orphanet:700085	Sickle cell disease due to hemoglobin S and a non-S/non-C hemoglobin variant
Orphanet:695147	Sickle cell-beta plus-thalassemia
Orphanet:695140	Sickle cell-beta zero-thalassemia
Orphanet:695038	Small omphalocele
Orphanet:521268	Sodium-dependent multivitamin transporter deficiency
Orphanet:693863	Splenic arteriovenous malformation
Orphanet:699021	Spontaneous heparin-induced thrombocytopenia
Orphanet:67037	Squamous cell carcinoma of head and neck
Orphanet:700154	TARDBP-related predominantly upper-limb distal myopathy
Orphanet:697053	Talaromycosis
Orphanet:692305	Triglyceride deposit cardiomyovasculopathy
Orphanet:409981	Unknown_epidemiological_range
Orphanet:695020	Urachal carcinoma
Orphanet:693872	Urinary tract arteriovenous malformation
Orphanet:693815	Uterine arteriovenous malformation
Orphanet:699029	Vaccine-induced immune thrombotic thrombocytopenia
Orphanet:699645	Variable age-onset epilepsy syndrome
Orphanet:693855	Visceral arteriovenous malformation
Orphanet:676033	Well-differentiated papillary mesothelial tumour of the peritoneum
Orphanet:696945	X-linked common variable immunodeficiency phenotype due to SH3KBP1 deficiency
Orphanet:700143	X-linked distal myopathy
Orphanet:409934	X-linked dominant
Orphanet:409932	X-linked recessive
Orphanet:409938	Y-linked
Orphanet:694304	ZMYND11-related developmental delay-speech delay-seizures-behavioral abnormalities-craniofacial dysmorphism syndrome
Orphanet:694308	ZMYND11-related developmental delay-speech delay-seizures-behavioral abnormalities-craniofacial dysmorphism syndrome due to a point mutation
Orphanet:409947	adolescent
Orphanet:409948	adult
Orphanet:C023	age of onset
Orphanet:409950	all ages
Orphanet:409967	annual incidence
Orphanet:409943	antenatal
Orphanet:409929	autosomal dominant
Orphanet:409930	autosomal recessive
Orphanet:409968	birth prevalence
Orphanet:409973	case
Orphanet:409970	cases/families
Orphanet:557495	category
Orphanet:409946	childhood
Orphanet:377794	clinical group
Orphanet:377796	clinical subtype
Orphanet:409949	elderly
Orphanet:C003	epidemiology
Orphanet:377795	etiological subtype
Orphanet:409974	family
Orphanet:C009	geography
Orphanet:C032	has_annual_incidence_average_value
Orphanet:C020	has_annual_incidence_range
Orphanet:C029	has_birth_prevalence_average_value
Orphanet:C026	has_birth_prevalence_range
Orphanet:C024	has_cases/families_value
Orphanet:C030	has_lifetime_prevalence_average_value
Orphanet:C027	has_lifetime_prevalence_range
Orphanet:C028	has_point_prevalence_average_value
Orphanet:C025	has_point_prevalence_range
Orphanet:377797	histopathological subtype
Orphanet:409945	infancy
Orphanet:C005	inheritance
Orphanet:409969	lifetime prevalence
Orphanet:409933	mitochondrial
Orphanet:409931	multigenic/multifactorial
Orphanet:409944	neonatal
Orphanet:409951	no age of onset data available
Orphanet:409940	no inheritance data available
Orphanet:409936	oligogenic
Orphanet:409966	point prevalence
Orphanet:C004	prevalence
Orphanet:409937	semi-dominant
Orphanet:409939	unknown inheritance
