mondo_id	ordo_id	subset	mondo_label	ordo_label
MONDO:0000463	Orphanet:2704	http://purl.obolibrary.org/obo/mondo#ordo_disease	Ochoa syndrome	Ochoa syndrome
MONDO:0000476	Orphanet:376724	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	generalized dystonia	Generalized isolated dystonia
MONDO:0000507	Orphanet:52430	http://purl.obolibrary.org/obo/mondo#ordo_disease	inclusion body myopathy with Paget disease of bone and frontotemporal dementia	Inclusion body myopathy with Paget disease of bone and frontotemporal dementia
MONDO:0000565	Orphanet:570762	http://purl.obolibrary.org/obo/mondo#ordo_disease	infective endocarditis	Infective endocarditis
MONDO:0000645	Orphanet:180237	http://purl.obolibrary.org/obo/mondo#ordo_disease	fallopian tube benign neoplasm	Benign tumor of fallopian tubes
MONDO:0000688	Orphanet:289899	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	inborn organic aciduria	Organic aciduria
MONDO:0000736	Orphanet:241	http://purl.obolibrary.org/obo/mondo#ordo_disease	dyschromatosis universalis hereditaria	Dyschromatosis universalis hereditaria
MONDO:0000754	Orphanet:228113	http://purl.obolibrary.org/obo/mondo#ordo_disease	anal fistula	Anal fistula
MONDO:0000827	Orphanet:795	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	salmonellosis	Rare form of salmonellosis
MONDO:0000845	Orphanet:249	http://purl.obolibrary.org/obo/mondo#ordo_disease	fibrous dysplasia	Fibrous dysplasia of bone
MONDO:0000859	Orphanet:645202	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	spina bifida occulta	Closed spinal dysraphism
MONDO:0000863	Orphanet:2598	http://purl.obolibrary.org/obo/mondo#ordo_disease	myopathy, lactic acidosis, and sideroblastic anemia	Mitochondrial myopathy and sideroblastic anemia
MONDO:0000902	Orphanet:1496	http://purl.obolibrary.org/obo/mondo#ordo_disease	agenesis of the corpus callosum with peripheral neuropathy	Corpus callosum agenesis-neuronopathy syndrome
MONDO:0000903	Orphanet:36899	http://purl.obolibrary.org/obo/mondo#ordo_disease	myoclonus-dystonia syndrome	Myoclonus-dystonia syndrome
MONDO:0000914	Orphanet:136	http://purl.obolibrary.org/obo/mondo#ordo_disease	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy
MONDO:0000995	Orphanet:371433	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	familial periodic paralysis	Genetic periodic paralysis
MONDO:0001032	Orphanet:519408	http://purl.obolibrary.org/obo/mondo#ordo_disease	Mooren ulcer	Mooren ulcer
MONDO:0001195	Orphanet:102022	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	spotted fever	Spotted fever rickettsiosis
MONDO:0001246	Orphanet:102023	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	typhus	Typhus-group rickettsiosis
MONDO:0001280	Orphanet:280892	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	choroiditis	Posterior uveitis
MONDO:0001309	Orphanet:98685	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	oculomotor nerve paralysis	Rare oculomotor nerve disorder
MONDO:0001325	Orphanet:398043	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	penile cancer	Malignant tumor of penis
MONDO:0001347	Orphanet:269	http://purl.obolibrary.org/obo/mondo#ordo_disease	facioscapulohumeral muscular dystrophy	Facioscapulohumeral dystrophy
MONDO:0001444	Orphanet:3386	http://purl.obolibrary.org/obo/mondo#ordo_disease	Chagas disease	American trypanosomiasis
MONDO:0001549	Orphanet:544458	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	hemolytic-uremic syndrome	Hemolytic uremic syndrome
MONDO:0001569	Orphanet:252175	http://purl.obolibrary.org/obo/mondo#ordo_clinical_subtype	acoustic neuroma	Vestibular schwannoma
MONDO:0001586	Orphanet:579	http://purl.obolibrary.org/obo/mondo#ordo_disease	mucopolysaccharidosis type 1	Mucopolysaccharidosis type 1
MONDO:0001595	Orphanet:1429	http://purl.obolibrary.org/obo/mondo#ordo_disease	choreatic disease	Benign hereditary chorea
MONDO:0001633	Orphanet:648684	http://purl.obolibrary.org/obo/mondo#ordo_disease	central retinal artery occlusion	Central retinal artery occlusion
MONDO:0001703	Orphanet:98658	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	color vision disorder	Color-vision disease
MONDO:0001713	Orphanet:68383	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	inherited aplastic anemia	Rare constitutional aplastic anemia
MONDO:0001734	Orphanet:805	http://purl.obolibrary.org/obo/mondo#ordo_disease	tuberous sclerosis	Tuberous sclerosis complex
MONDO:0001790	Orphanet:645276	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	spinal cord lipoma	Spinal cord lipoma
MONDO:0001881	Orphanet:36234	http://purl.obolibrary.org/obo/mondo#ordo_disease	toxic shock syndrome	Bacterial toxic-shock syndrome
MONDO:0001945	Orphanet:97349	http://purl.obolibrary.org/obo/mondo#ordo_disease	postencephalitic Parkinson disease	Postencephalitic parkinsonism
MONDO:0001956	Orphanet:188	http://purl.obolibrary.org/obo/mondo#ordo_disease	capillary leak syndrome	Systemic capillary leak syndrome
MONDO:0001971	Orphanet:99906	http://purl.obolibrary.org/obo/mondo#ordo_disease	farmer's lung disease	Farmer's lung disease
MONDO:0002013	Orphanet:2415	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	lymphangioma	Rare lymphatic malformation
MONDO:0002096	Orphanet:617910	http://purl.obolibrary.org/obo/mondo#ordo_disease	malignant conjunctival melanoma	Conjunctival malignant melanoma
MONDO:0002142	Orphanet:2023	http://purl.obolibrary.org/obo/mondo#ordo_disease	undifferentiated pleomorphic sarcoma	Undifferentiated pleomorphic sarcoma
MONDO:0002145	Orphanet:90771	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	disorder of sexual differentiation	Difference of sex development
MONDO:0002158	Orphanet:180242	http://purl.obolibrary.org/obo/mondo#ordo_disease	fallopian tube cancer	Malignant tumor of fallopian tubes
MONDO:0002303	Orphanet:411527	http://purl.obolibrary.org/obo/mondo#ordo_disease	central retinal vein occlusion	Central retinal vein occlusion
MONDO:0002412	Orphanet:79201	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	disorder of glycogen metabolism	Glycogen storage disease
MONDO:0002413	Orphanet:364	http://purl.obolibrary.org/obo/mondo#ordo_disease	glycogen storage disease I	Glycogen storage disease due to glucose-6-phosphatase deficiency
MONDO:0002422	Orphanet:55881	http://purl.obolibrary.org/obo/mondo#ordo_disease	adamantinoma	Adamantinoma
MONDO:0002429	Orphanet:98300	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	idiopathic interstitial pneumonia	Idiopathic interstitial pneumonia
MONDO:0002441	Orphanet:90647	http://purl.obolibrary.org/obo/mondo#ordo_disease	Jervell and Lange-Nielsen syndrome	Jervell and Lange-Nielsen syndrome
MONDO:0002457	Orphanet:861	http://purl.obolibrary.org/obo/mondo#ordo_disease	Treacher-Collins syndrome	Treacher-Collins syndrome
MONDO:0002474	Orphanet:416	http://purl.obolibrary.org/obo/mondo#ordo_disease	primary hyperoxaluria	Primary hyperoxaluria
MONDO:0002520	Orphanet:95157	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	hepatic porphyria	Acute hepatic porphyria
MONDO:0002525	Orphanet:309005	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	inherited lipid metabolism disorder	Disorder of lipid metabolism
MONDO:0002546	Orphanet:252164	http://purl.obolibrary.org/obo/mondo#ordo_disease	schwannoma	Benign schwannoma
MONDO:0002561	Orphanet:68366	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	lysosomal storage disease	Lysosomal disease
MONDO:0002571	Orphanet:46135	http://purl.obolibrary.org/obo/mondo#ordo_disease	primary central nervous system lymphoma	Primary central nervous system lymphoma
MONDO:0002588	Orphanet:263310	http://purl.obolibrary.org/obo/mondo#ordo_clinical_subtype	thymoma type A	Thymoma type A
MONDO:0002629	Orphanet:668	http://purl.obolibrary.org/obo/mondo#ordo_disease	bone osteosarcoma	Osteosarcoma
MONDO:0002653	Orphanet:398053	http://purl.obolibrary.org/obo/mondo#ordo_disease	Paget disease of the penis	Adenocarcinoma of the penis
MONDO:0002684	Orphanet:251902	http://purl.obolibrary.org/obo/mondo#ordo_disease	atypical choroid plexus papilloma	Atypical papilloma of choroid plexus
MONDO:0002687	Orphanet:622099	http://purl.obolibrary.org/obo/mondo#ordo_disease	superior mesenteric artery syndrome	Superior mesenteric artery syndrome
MONDO:0002697	Orphanet:206484	http://purl.obolibrary.org/obo/mondo#ordo_disease	ovarian gonadoblastoma	Gonadoblastoma
MONDO:0002718	Orphanet:252018	http://purl.obolibrary.org/obo/mondo#ordo_clinical_subtype	central nervous system teratoma	Teratoma of the central nervous system
MONDO:0002728	Orphanet:69077	http://purl.obolibrary.org/obo/mondo#ordo_disease	rhabdoid tumor	Rhabdoid tumor
MONDO:0002735	Orphanet:424016	http://purl.obolibrary.org/obo/mondo#ordo_disease	anal canal adenocarcinoma	Adenocarcinoma of the anal canal
MONDO:0002752	Orphanet:213504	http://purl.obolibrary.org/obo/mondo#ordo_disease	ovarian adenocarcinoma	Adenocarcinoma of ovary
MONDO:0002876	Orphanet:213792	http://purl.obolibrary.org/obo/mondo#ordo_disease	cervical adenosarcoma	Adenosarcoma of the cervix uteri
MONDO:0002877	Orphanet:213787	http://purl.obolibrary.org/obo/mondo#ordo_disease	cervical carcinosarcoma	Carcinosarcoma of the cervix uteri
MONDO:0002878	Orphanet:213600	http://purl.obolibrary.org/obo/mondo#ordo_disease	uterine corpus adenosarcoma	Adenosarcoma of the corpus uteri
MONDO:0002882	Orphanet:100080	http://purl.obolibrary.org/obo/mondo#ordo_disease	colon neuroendocrine neoplasm	Neuroendocrine tumor of the colon
MONDO:0002955	Orphanet:494451	http://purl.obolibrary.org/obo/mondo#ordo_clinical_subtype	vulva basal cell carcinoma	Vulvar basal cell carcinoma
MONDO:0003010	Orphanet:319287	http://purl.obolibrary.org/obo/mondo#ordo_clinical_subtype	multilocular clear cell renal cell carcinoma	Multilocular cystic renal neoplasm of low malignant potential
MONDO:0003011	Orphanet:319322	http://purl.obolibrary.org/obo/mondo#ordo_disease	mucinous tubular and spindle renal cell carcinoma	Mucinous tubular and spindle cell renal carcinoma
MONDO:0003111	Orphanet:100075	http://purl.obolibrary.org/obo/mondo#ordo_disease	gastric neuroendocrine neoplasm	Neuroendocrine tumor of stomach
MONDO:0003125	Orphanet:363489	http://purl.obolibrary.org/obo/mondo#ordo_disease	testicular sex cord-stromal neoplasm	Sex cord-stromal tumor of testis
MONDO:0003198	Orphanet:104075	http://purl.obolibrary.org/obo/mondo#ordo_disease	small intestine adenocarcinoma	Adenocarcinoma of the small intestine
MONDO:0003266	Orphanet:301	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	ependymal tumor	Ependymal tumor
MONDO:0003345	Orphanet:99978	http://purl.obolibrary.org/obo/mondo#ordo_disease	hilar cholangiocarcinoma	Klatskin tumor
MONDO:0003360	Orphanet:104076	http://purl.obolibrary.org/obo/mondo#ordo_disease	small intestine leiomyosarcoma	Leiomyosarcoma of small intestine
MONDO:0003414	Orphanet:499182	http://purl.obolibrary.org/obo/mondo#ordo_disease	skin pilomatrix carcinoma	Pilomatrix carcinoma
MONDO:0003429	Orphanet:314753	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	functioning pituitary gland adenoma	Functioning pituitary adenoma
MONDO:0003582	Orphanet:145	http://purl.obolibrary.org/obo/mondo#ordo_disease	hereditary breast ovarian cancer syndrome	Hereditary breast and/or ovarian cancer syndrome
MONDO:0003630	Orphanet:424073	http://purl.obolibrary.org/obo/mondo#ordo_disease	pancreatic serous cystadenocarcinoma	Serous cystadenocarcinoma of pancreas
MONDO:0003646	Orphanet:100081	http://purl.obolibrary.org/obo/mondo#ordo_disease	rectum neuroendocrine neoplasm	Neuroendocrine tumor of the rectum
MONDO:0003649	Orphanet:506136	http://purl.obolibrary.org/obo/mondo#ordo_disease	esophageal neuroendocrine tumor	Neuroendocrine neoplasm of esophagus
MONDO:0003669	Orphanet:842	http://purl.obolibrary.org/obo/mondo#ordo_disease	testicular seminoma	Testicular seminomatous germ cell tumor
MONDO:0003778	Orphanet:101997	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	inborn error of immunity	Primary immunodeficiency
MONDO:0003789	Orphanet:47044	http://purl.obolibrary.org/obo/mondo#ordo_disease	hereditary papillary renal cell carcinoma	Hereditary papillary renal cell carcinoma
MONDO:0003792	Orphanet:213512	http://purl.obolibrary.org/obo/mondo#ordo_disease	ovarian carcinosarcoma	Malignant mixed Müllerian tumor of the ovary
MONDO:0003795	Orphanet:370396	http://purl.obolibrary.org/obo/mondo#ordo_disease	ovarian small cell carcinoma	Small cell carcinoma of the ovary
MONDO:0003832	Orphanet:459345	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	complement deficiency	Immunodeficiency due to a complement cascade component deficiency
MONDO:0004069	Orphanet:68380	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	inborn mitochondrial metabolism disorder	Mitochondrial disease
MONDO:0004114	Orphanet:284400	http://purl.obolibrary.org/obo/mondo#ordo_disease	urinary bladder small cell neuroendocrine carcinoma	Small cell carcinoma of the bladder
MONDO:0004132	Orphanet:424019	http://purl.obolibrary.org/obo/mondo#ordo_disease	anal canal squamous cell carcinoma	Squamous cell carcinoma of the anal canal
MONDO:0004150	Orphanet:180267	http://purl.obolibrary.org/obo/mondo#ordo_disease	breast giant fibroadenoma	Giant adenofibroma of the breast
MONDO:0004187	Orphanet:477742	http://purl.obolibrary.org/obo/mondo#ordo_disease	nodular fasciitis	Nodular fasciitis
MONDO:0004216	Orphanet:91352	http://purl.obolibrary.org/obo/mondo#ordo_clinical_subtype	pineal region germinoma	Germinoma of the central nervous system
MONDO:0004234	Orphanet:512017	http://purl.obolibrary.org/obo/mondo#ordo_disease	chronic lymphoproliferative disorder of NK-cells	Chronic lymphoproliferative disorder of natural killer cells
MONDO:0004241	Orphanet:97335	http://purl.obolibrary.org/obo/mondo#ordo_disease	Osgood-Schlatter disease	Osgood-Schlatter disease
MONDO:0004285	Orphanet:424058	http://purl.obolibrary.org/obo/mondo#ordo_disease	pancreatic intraductal papillary-mucinous carcinoma	Intraductal papillary mucinous carcinoma of pancreas
MONDO:0004334	Orphanet:506075	http://purl.obolibrary.org/obo/mondo#ordo_disease	non-functional pancreatic neuroendocrine tumor	Non-functioning neuroendocrine tumor of pancreas
MONDO:0004351	Orphanet:279904	http://purl.obolibrary.org/obo/mondo#ordo_disease	intraocular lymphoma	Primary intraocular lymphoma
MONDO:0004542	Orphanet:213833	http://purl.obolibrary.org/obo/mondo#ordo_disease	cervical adenosquamous carcinoma, glassy cell variant	Glassy cell carcinoma of the cervix uteri
MONDO:0004604	Orphanet:98845	http://purl.obolibrary.org/obo/mondo#ordo_clinical_subtype	Hodgkin's lymphoma, lymphocytic-histiocytic predominance	Classic Hodgkin lymphoma, lymphocyte-rich type
MONDO:0004620	Orphanet:98846	http://purl.obolibrary.org/obo/mondo#ordo_clinical_subtype	Hodgkin's lymphoma, lymphocytic depletion	Classic Hodgkin lymphoma, lymphocyte-depleted type
MONDO:0004633	Orphanet:98844	http://purl.obolibrary.org/obo/mondo#ordo_clinical_subtype	Hodgkin's lymphoma, mixed cellularity	Classic Hodgkin lymphoma, mixed cellularity type
MONDO:0004653	Orphanet:98824	http://purl.obolibrary.org/obo/mondo#ordo_disease	atypical chronic myeloid leukemia, BCR-ABL1 negative	Atypical chronic myeloid leukemia
MONDO:0004672	Orphanet:658909	http://purl.obolibrary.org/obo/mondo#ordo_disease	fasciolopsiasis	Fasciolopsiasis
MONDO:0004684	Orphanet:199251	http://purl.obolibrary.org/obo/mondo#ordo_disease	plantar fibromatosis	Ledderhose disease
MONDO:0004691	Orphanet:730	http://purl.obolibrary.org/obo/mondo#ordo_disease	autosomal dominant polycystic kidney disease	Autosomal dominant polycystic kidney disease
MONDO:0004739	Orphanet:79167	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	urea cycle disorder	Disorder of urea cycle metabolism and ammonia detoxification
MONDO:0004745	Orphanet:140949	http://purl.obolibrary.org/obo/mondo#ordo_disease	priapism	Low-flow priapism
MONDO:0004772	Orphanet:636950	http://purl.obolibrary.org/obo/mondo#ordo_disease	glaucomatocyclitic crisis	Glaucomatocyclitic crisis disease
MONDO:0004907	Orphanet:79364	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	alopecia	Alopecia
MONDO:0004933	Orphanet:2248	http://purl.obolibrary.org/obo/mondo#ordo_disease	hypoplastic left heart syndrome	Hypoplastic left heart syndrome
MONDO:0004948	Orphanet:67038	http://purl.obolibrary.org/obo/mondo#ordo_disease	B-cell chronic lymphocytic leukemia	B-cell chronic lymphocytic leukemia
MONDO:0004952	Orphanet:98293	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	Hodgkins lymphoma	Hodgkin lymphoma
MONDO:0004958	Orphanet:502363	http://purl.obolibrary.org/obo/mondo#ordo_disease	oral cavity squamous cell carcinoma	Squamous cell carcinoma of the oral cavity
MONDO:0004959	Orphanet:98282	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	plasma cell neoplasm	Plasma cell tumor
MONDO:0004967	Orphanet:513	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	acute lymphoblastic leukemia	Acute lymphoblastic leukemia
MONDO:0004976	Orphanet:803	http://purl.obolibrary.org/obo/mondo#ordo_disease	amyotrophic lateral sclerosis	Amyotrophic lateral sclerosis
MONDO:0004977	Orphanet:86886	http://purl.obolibrary.org/obo/mondo#ordo_disease	angioimmunoblastic T-cell lymphoma	Angioimmunoblastic T-cell lymphoma
MONDO:0004994	Orphanet:167848	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	cardiomyopathy	Rare cardiomyopathy
MONDO:0005005	Orphanet:319276	http://purl.obolibrary.org/obo/mondo#ordo_disease	clear cell renal carcinoma	Clear cell renal carcinoma
MONDO:0005006	Orphanet:457246	http://purl.obolibrary.org/obo/mondo#ordo_disease	clear cell sarcoma of kidney	Clear cell sarcoma of kidney
MONDO:0005021	Orphanet:217604	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	dilated cardiomyopathy	Dilated cardiomyopathy
MONDO:0005028	Orphanet:99976	http://purl.obolibrary.org/obo/mondo#ordo_disease	esophageal adenocarcinoma	Adenocarcinoma of the esophagus
MONDO:0005029	Orphanet:3318	http://purl.obolibrary.org/obo/mondo#ordo_disease	essential thrombocythemia	Essential thrombocythemia
MONDO:0005033	Orphanet:251992	http://purl.obolibrary.org/obo/mondo#ordo_disease	ganglioneuroma	Ganglioneuroma
MONDO:0005035	Orphanet:251877	http://purl.obolibrary.org/obo/mondo#ordo_disease	ganglioneuroblastoma	Ganglioneuroblastoma
MONDO:0005045	Orphanet:217569	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	hypertrophic cardiomyopathy	Rare hypertrophic cardiomyopathy
MONDO:0005048	Orphanet:97279	http://purl.obolibrary.org/obo/mondo#ordo_disease	pancreatic insulin-producing neuroendocrine tumor	Insulinoma
MONDO:0005055	Orphanet:33276	http://purl.obolibrary.org/obo/mondo#ordo_disease	Kaposi's sarcoma	Kaposi sarcoma
MONDO:0005058	Orphanet:64720	http://purl.obolibrary.org/obo/mondo#ordo_disease	leiomyosarcoma	Leiomyosarcoma
MONDO:0005060	Orphanet:69078	http://purl.obolibrary.org/obo/mondo#ordo_disease	liposarcoma	Liposarcoma
MONDO:0005062	Orphanet:223735	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	lymphoma	Lymphoma
MONDO:0005072	Orphanet:635	http://purl.obolibrary.org/obo/mondo#ordo_disease	neuroblastoma	Neuroblastoma
MONDO:0005077	Orphanet:1489	http://purl.obolibrary.org/obo/mondo#ordo_disease	pertussis	Whooping cough
MONDO:0005081	Orphanet:275555	http://purl.obolibrary.org/obo/mondo#ordo_disease	preeclampsia	Preeclampsia
MONDO:0005086	Orphanet:217071	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	renal cell carcinoma	Renal cell carcinoma
MONDO:0005091	Orphanet:140896	http://purl.obolibrary.org/obo/mondo#ordo_disease	severe acute respiratory syndrome	Severe acute respiratory syndrome
MONDO:0005100	Orphanet:90291	http://purl.obolibrary.org/obo/mondo#ordo_disease	systemic sclerosis	Systemic sclerosis
MONDO:0005103	Orphanet:99971	http://purl.obolibrary.org/obo/mondo#ordo_clinical_subtype	well-differentiated liposarcoma	Well-differentiated liposarcoma
MONDO:0005116	Orphanet:3452	http://purl.obolibrary.org/obo/mondo#ordo_disease	Whipple disease	Whipple disease
MONDO:0005124	Orphanet:548	http://purl.obolibrary.org/obo/mondo#ordo_disease	leprosy	Leprosy
MONDO:0005136	Orphanet:673	http://purl.obolibrary.org/obo/mondo#ordo_disease	malaria	Malaria
MONDO:0005153	Orphanet:213772	http://purl.obolibrary.org/obo/mondo#ordo_disease	cervical adenocarcinoma	Adenocarcinoma of the cervix uteri
MONDO:0005164	Orphanet:2030	http://purl.obolibrary.org/obo/mondo#ordo_disease	fibrosarcoma	Fibrosarcoma
MONDO:0005181	Orphanet:520820	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	progressive external ophthalmoplegia	Progressive external ophthalmoplegia
MONDO:0005197	Orphanet:100100	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	thymus neoplasm	Thymic tumor
MONDO:0005198	Orphanet:137583	http://purl.obolibrary.org/obo/mondo#ordo_disease	vulvar intraepithelial neoplasia	Vulvar intraepithelial neoplasia
MONDO:0005201	Orphanet:217632	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	restrictive cardiomyopathy	Restrictive cardiomyopathy
MONDO:0005210	Orphanet:213620	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	uterine corpus sarcoma	Sarcoma of the corpus uteri
MONDO:0005212	Orphanet:780	http://purl.obolibrary.org/obo/mondo#ordo_disease	rhabdomyosarcoma	Rhabdomyosarcoma
MONDO:0005215	Orphanet:494418	http://purl.obolibrary.org/obo/mondo#ordo_disease	vulvar carcinoma	Vulvar carcinoma
MONDO:0005220	Orphanet:247203	http://purl.obolibrary.org/obo/mondo#ordo_disease	collecting duct carcinoma	Collecting duct carcinoma
MONDO:0005223	Orphanet:98832	http://purl.obolibrary.org/obo/mondo#ordo_disease	acute myeloid leukemia with minimal differentiation	Acute myeloid leukemia with minimal differentiation
MONDO:0005224	Orphanet:98833	http://purl.obolibrary.org/obo/mondo#ordo_disease	acute myeloblastic leukemia without maturation	Acute myeloblastic leukemia without maturation
MONDO:0005272	Orphanet:98826	http://purl.obolibrary.org/obo/mondo#ordo_disease	myelodysplastic syndrome with single lineage dysplasia	Refractory anemia
MONDO:0005308	Orphanet:363250	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	ciliopathy	Ciliopathy
MONDO:0005312	Orphanet:217067	http://purl.obolibrary.org/obo/mondo#ordo_disease	pouchitis	Pouchitis
MONDO:0005313	Orphanet:391673	http://purl.obolibrary.org/obo/mondo#ordo_disease	necrotizing enterocolitis	Necrotizing enterocolitis
