subject_id	subject_label	predicate_id	object_id	object_label	levenshtein_dist	semantic_similarity	mapping_justification	confidence	subject_match_field	object_match_field	match_string	notes
MONDO:0004566	postgastrectomy syndrome	ICD10CM:K91.1	MONDO:equivalentTo	Postgastric surgery syndromes	9	0.5298425489442208	semapv:LexicalMatching	0.8	rdfs:label	oio:hasExactSynonym	postgastrectomy syndrome	
MONDO:0000995	familial periodic paralysis	ICD10CM:G72.3	MONDO:equivalentTo	Periodic paralysis	9	0.767311327165129	semapv:LexicalMatching	0.8	rdfs:label	oio:hasExactSynonym	familial periodic paralysis	
MONDO:0000995	familial periodic paralysis	ICD10CM:G72.3	MONDO:equivalentTo	Periodic paralysis	9	0.767311327165129	semapv:LexicalMatching	0.8	oio:hasExactSynonym	oio:hasExactSynonym	familial periodic paralysis	
MONDO:0005338	open-angle glaucoma	ICD10CM:H40.13	MONDO:equivalentTo	Pigmentary glaucoma	9	0.8468071950908327	semapv:LexicalMatching	0.8	oio:hasExactSynonym	rdfs:label	pigmentary glaucoma	
MONDO:0019154	androgen insensitivity syndrome	ICD10CM:E34.51	MONDO:equivalentTo	Complete androgen insensitivity syndrome	9	0.9127144804114921	semapv:LexicalMatching	0.8	oio:hasExactSynonym	oio:hasExactSynonym	goldberg-maxwell syndrome	
MONDO:0005150	age-related macular degeneration	ICD10CM:H35.30	MONDO:equivalentTo	Unspecified macular degeneration	9	0.9249334360890025	semapv:LexicalMatching	0.8	rdfs:label	oio:hasExactSynonym	age-related macular degeneration	
MONDO:0005150	age-related macular degeneration	ICD10CM:H35.30	MONDO:equivalentTo	Unspecified macular degeneration	9	0.9249334360890025	semapv:LexicalMatching	0.8	oio:hasExactSynonym	oio:hasExactSynonym	age-related macular degeneration	
MONDO:0002350	familial nephrotic syndrome	ICD10CM:N04	MONDO:equivalentTo	Nephrotic syndrome	9	0.9401130376501254	semapv:LexicalMatching	0.8	oio:hasExactSynonym	oio:hasExactSynonym	congenital nephrotic syndrome	
MONDO:0019262	juvenile neuronal ceroid lipofuscinosis	ICD10CM:E75.4	MONDO:equivalentTo	Neuronal ceroid lipofuscinosis	9	0.9643064302026385	semapv:LexicalMatching	0.8	oio:hasExactSynonym	oio:hasExactSynonym	spielmeyer-vogt disease	
MONDO:0019262	juvenile neuronal ceroid lipofuscinosis	ICD10CM:E75.4	MONDO:equivalentTo	Neuronal ceroid lipofuscinosis	9	0.9643064302026385	semapv:LexicalMatching	0.8	oio:hasExactSynonym	oio:hasExactSynonym	batten disease	
